k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_ticker,y_ticker,bar_freq
-10,y_leads_x,-0.0179040707367711,-12.688361864203952,6.86057142128086e-37,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-9,y_leads_x,-0.004440712764923891,-0.8311796967263713,0.4058721227339299,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-8,y_leads_x,-0.022138757287191602,-2.690427877000951,0.007136045817370997,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-7,y_leads_x,-0.03501795802768884,-3.1796041900824505,0.0014747634143447547,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-6,y_leads_x,-0.020859127108919337,-3.3807038100399533,0.0007230043307246295,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-5,y_leads_x,-0.0251376087651818,-11.251145889502427,2.2860263135629764e-29,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-4,y_leads_x,-0.006667525460059767,-0.4753253709352665,0.6345550782725752,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-3,y_leads_x,-0.003563422262706817,-0.4029776988155601,0.6869646305128294,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-2,y_leads_x,-0.0016172627979680698,-0.1420503121837356,0.8870402652052991,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-1,y_leads_x,0.05230520175221303,3.211381570128736,0.0013209840646868677,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
0,contemporaneous,0.03534642133167844,2.767241311254817,0.005653289211928675,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
1,x_leads_y,0.022484462220127784,12.5794503981692,2.7392898812839515e-36,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
2,x_leads_y,0.04389907111389642,37.59372245158954,2.72229451384519e-309,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
3,x_leads_y,0.028917119786835425,1.212790303507841,0.22521000359405274,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
4,x_leads_y,0.09269391946372062,3.3067331383616647,0.0009439076756493438,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
5,x_leads_y,0.03806828913959614,1.1678308027327835,0.24287502057642052,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
6,x_leads_y,0.037096557640363764,1.6903177405693015,0.0909671828725016,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
7,x_leads_y,0.021028433656764014,0.55986967317902,0.5755683357686694,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
8,x_leads_y,0.010736670661723752,0.14497721378151168,0.8847288624675297,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
9,x_leads_y,-0.009237277810631207,-1.2273315805701723,0.21969799055310912,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
10,x_leads_y,0.034246603159255096,0.48682948993168634,0.6263791700594254,0.7898968168268802,45,2,KXECKH276,KXECDJT312,600s
-10,y_leads_x,0.016463745999509186,1.7122053269294628,0.08685883611750887,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-9,y_leads_x,0.014248388078240417,1.055530460665158,0.2911827858469349,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-8,y_leads_x,0.02349291038382001,1.6541562948579867,0.09809576038796623,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-7,y_leads_x,-0.007525003552982233,-2.6340749297073005,0.008436686735516561,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-6,y_leads_x,-0.03844995731035291,-1.7105047477376067,0.08717257624411699,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-5,y_leads_x,-0.0020479592850174352,-5.848108075035267,4.971954909024841e-09,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-4,y_leads_x,0.04525320309136017,1.1224984067097983,0.2616505846139615,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-3,y_leads_x,0.027648989137886406,0.7217376826648084,0.47045576951012935,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-2,y_leads_x,-0.02434317783534519,-10.414546522397805,2.128093450245006e-25,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-1,y_leads_x,-0.016256222719232986,-0.5346239862773546,0.5929098938737487,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
0,contemporaneous,0.008022017459918068,0.8331223092428429,0.404775752782784,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
1,x_leads_y,0.09844063845260712,1.6179246523568929,0.10567883673843924,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
2,x_leads_y,-0.0032466062462723293,-0.1406272178993343,0.8881644451320082,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
3,x_leads_y,-0.002443738143016806,-0.13358124524196607,0.8937337153866893,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
4,x_leads_y,-0.0036412435212886396,-0.06495598772611823,0.948209042914426,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
5,x_leads_y,-0.033605185151314734,-0.692648466527205,0.488530186752658,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
6,x_leads_y,0.07607886596237201,1.4648743003157947,0.14295521564401772,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
7,x_leads_y,0.028050646337105873,0.4014499074598018,0.6880889115218589,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
8,x_leads_y,0.10780135660679119,1.231563667702432,0.2181121198720265,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
9,x_leads_y,0.046927416967472345,0.8739614414917731,0.38213925250730885,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
10,x_leads_y,0.0012848643819583366,13.36585763972759,9.572527864043887e-41,0.7697379858183544,52,2,KXECKH276,KXECDJT281,600s
-10,y_leads_x,0.05250958555136095,0.2975438482800228,0.7660513368221047,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-9,y_leads_x,-0.03310726073600651,-0.3389981339521114,0.7346111359135788,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
-8,y_leads_x,-0.2549198195683584,-0.7067606620191804,0.4797152245735725,0.8236755486391503,35,7,KXECDJT316,KXFEDDECISION-24DEC-C25,600s
