k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,ticker,bar_freq
-10,y_leads_x,-0.00028867524658403396,-0.45920328208417194,0.6460881938944879,0.7865091929658257,68,4,KXECKH276,600s
-9,y_leads_x,-0.004100154619391425,-1.53647603040801,0.12442167214929735,0.7865091929658257,68,4,KXECKH276,600s
-8,y_leads_x,-0.0025500075947962574,-0.5483450466916018,0.5834550019532159,0.7865091929658257,68,4,KXECKH276,600s
-7,y_leads_x,0.004355088974812918,0.5191891327596431,0.6036288565235599,0.7865091929658257,68,4,KXECKH276,600s
-6,y_leads_x,0.003650921324024817,0.3552067240176452,0.7224347277297156,0.7865091929658257,68,4,KXECKH276,600s
-5,y_leads_x,-0.008425624706199886,-0.6361811245596704,0.5246583744206504,0.7865091929658257,68,4,KXECKH276,600s
-4,y_leads_x,-0.01363482377093372,-1.3611787048444077,0.17345722213414017,0.7865091929658257,68,4,KXECKH276,600s
-3,y_leads_x,-0.011164582795532299,-1.828360705013359,0.06749543469623114,0.7865091929658257,68,4,KXECKH276,600s
-2,y_leads_x,-0.017408777391064542,-2.8886012477898935,0.0038695943155235913,0.7865091929658257,68,4,KXECKH276,600s
-1,y_leads_x,-0.03793652474059269,-7.131659936632062,9.916563454902139e-13,0.7865091929658257,68,4,KXECKH276,600s
1,x_leads_y,-0.04067856136759073,-11.167136014425687,5.905437818406669e-29,0.7865091929658257,68,4,KXECKH276,600s
2,x_leads_y,-0.019000850134806964,-5.075039823285669,3.8741485494754704e-07,0.7865091929658257,68,4,KXECKH276,600s
3,x_leads_y,-0.015588057495224352,-1.823272778607592,0.06826208702980692,0.7865091929658257,68,4,KXECKH276,600s
4,x_leads_y,-0.020958625535644065,-2.411818293033898,0.015873190130121284,0.7865091929658257,68,4,KXECKH276,600s
5,x_leads_y,-0.01811478063737053,-1.5706577188239557,0.11626217523153375,0.7865091929658257,68,4,KXECKH276,600s
6,x_leads_y,-0.0043380170756890275,-0.34855964589912414,0.7274199277340279,0.7865091929658257,68,4,KXECKH276,600s
7,x_leads_y,-0.0013793548789258463,-0.10572559425590752,0.9158000728781744,0.7865091929658257,68,4,KXECKH276,600s
8,x_leads_y,-0.007283594472246408,-0.8350416301246817,0.40369426934663544,0.7865091929658257,68,4,KXECKH276,600s
9,x_leads_y,-0.008556200044375073,-19.394875354100282,8.525925583426745e-84,0.7865091929658257,68,4,KXECKH276,600s
10,x_leads_y,-0.0034666026214368872,-1.102904536455447,0.27006862399699905,0.7865091929658257,68,4,KXECKH276,600s
-10,y_leads_x,-0.00043195362104946083,-4.731462455416349,2.2290804951191187e-06,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-9,y_leads_x,-0.0012512834281738646,-8.39955049618775,4.4819095687447865e-17,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-8,y_leads_x,-0.0019802433440174946,-9.846290834311686,7.112032548385387e-23,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-7,y_leads_x,-0.003159411375770843,-15.045217349538465,3.7111272706647283e-51,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-6,y_leads_x,-0.004054255934283388,-12.617085409083613,1.6999723067163545e-36,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-5,y_leads_x,-0.004861370896817453,-12.570115671609845,3.0827255118660424e-36,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-4,y_leads_x,-0.005825534491780698,-28.638394943215513,2.2360905326240774e-180,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-3,y_leads_x,-0.006653873103198421,-52.83301297992775,0.0,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-2,y_leads_x,-0.007627811889356426,-33.210007093685995,7.719577780857435e-242,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-1,y_leads_x,-0.00826637942644718,-40.79296314024134,0.0,0.9965775136229267,49,10,RATECUT-24SEP18,600s
1,x_leads_y,-0.008403942889946768,-43.7051307573362,0.0,0.9965775136229267,49,10,RATECUT-24SEP18,600s
2,x_leads_y,-0.008452184230258128,-40.69758279260037,0.0,0.9965775136229267,49,10,RATECUT-24SEP18,600s
3,x_leads_y,-0.008557272451778234,-35.79525060873212,1.3092539278628334e-280,0.9965775136229267,49,10,RATECUT-24SEP18,600s
4,x_leads_y,-0.00809941765276518,-19.446735147175048,3.1058775529764195e-84,0.9965775136229267,49,10,RATECUT-24SEP18,600s
5,x_leads_y,-0.007137468938601271,-11.767881794352071,5.714127189146719e-32,0.9965775136229267,49,10,RATECUT-24SEP18,600s
6,x_leads_y,-0.006415110152256861,-10.556662395835708,4.731882685319542e-26,0.9965775136229267,49,10,RATECUT-24SEP18,600s
7,x_leads_y,-0.005285465827588173,-11.141913066019285,7.841654546656488e-29,0.9965775136229267,49,10,RATECUT-24SEP18,600s
8,x_leads_y,-0.0037408432982562914,-9.120051577035099,7.508858582837468e-20,0.9965775136229267,49,10,RATECUT-24SEP18,600s
9,x_leads_y,-0.002108463547709921,-6.202663826347047,5.551534457868595e-10,0.9965775136229267,49,10,RATECUT-24SEP18,600s
10,x_leads_y,-0.0009925892447182813,-4.36213337437354,1.2880030735511672e-05,0.9965775136229267,49,10,RATECUT-24SEP18,600s
-10,y_leads_x,-0.00046428213523563877,-4.076001356839411,4.581675138402888e-05,0.9913137975419367,55,11,RATECUT-24SEP18,600s
-9,y_leads_x,-0.0012231551383754557,-8.354616588327717,6.564558301901464e-17,0.9913137975419367,55,11,RATECUT-24SEP18,600s
-8,y_leads_x,-0.0020812140418899608,-8.198104703458263,2.4420661110229585e-16,0.9913137975419367,55,11,RATECUT-24SEP18,600s
-7,y_leads_x,-0.002963200603341343,-7.476131518590853,7.65423562039465e-14,0.9913137975419367,55,11,RATECUT-24SEP18,600s
-6,y_leads_x,-0.0035488322057265283,-4.107116772723084,4.006287144216256e-05,0.9913137975419367,55,11,RATECUT-24SEP18,600s
-5,y_leads_x,-0.004178133282011366,-3.666764218252285,0.0002456390943594244,0.9913137975419367,55,11,RATECUT-24SEP18,600s
