k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,x_etf,y_etf,bar_freq
-10,y_leads_x,4.993266666428007e-07,0.9958512996304257,0.3193224006505244,0.4074043694040982,66632,19,VAW,VIS,5s
-9,y_leads_x,-3.100185300473055e-08,-0.10286277271998799,0.918071883991714,0.4074043694040982,66632,19,VAW,VIS,5s
-8,y_leads_x,-3.099823545464263e-07,-0.7824543881067484,0.4339475810698148,0.4074043694040982,66632,19,VAW,VIS,5s
-7,y_leads_x,-1.2226331812327584e-06,-2.7722690388836337,0.0055667006951036265,0.4074043694040982,66632,19,VAW,VIS,5s
-6,y_leads_x,4.653998120552024e-07,0.7396324265275227,0.45952306036573687,0.4074043694040982,66632,19,VAW,VIS,5s
-5,y_leads_x,7.287252194038584e-07,1.7672809458708414,0.07718118925903099,0.4074043694040982,66632,19,VAW,VIS,5s
-4,y_leads_x,7.514570691247084e-07,1.1820919903113583,0.23716920219844717,0.4074043694040982,66632,19,VAW,VIS,5s
-3,y_leads_x,4.784653383234976e-07,0.6751175697387285,0.4996010718117536,0.4074043694040982,66632,19,VAW,VIS,5s
-2,y_leads_x,2.5639756125144645e-06,3.0652103051785007,0.0021751698705693235,0.4074043694040982,66632,19,VAW,VIS,5s
-1,y_leads_x,1.2806999749639134e-05,7.218067315113522,5.273161411017672e-13,0.4074043694040982,66632,19,VAW,VIS,5s
0,contemporaneous,6.502779199700766e-05,19.470029806612573,1.9715676680136358e-84,0.4074043694040982,66632,19,VAW,VIS,5s
1,x_leads_y,8.288751385504854e-06,5.427129615892648,5.726754172181198e-08,0.4074043694040982,66632,19,VAW,VIS,5s
2,x_leads_y,1.6582595960004416e-06,1.8455513362616445,0.06495737798729767,0.4074043694040982,66632,19,VAW,VIS,5s
3,x_leads_y,1.0165021622958495e-06,1.2013443891237252,0.22961763829560122,0.4074043694040982,66632,19,VAW,VIS,5s
4,x_leads_y,-5.277090139593122e-07,-0.9298163034115976,0.35246620356119374,0.4074043694040982,66632,19,VAW,VIS,5s
5,x_leads_y,7.840093191694942e-07,1.551905977575685,0.12068472242939358,0.4074043694040982,66632,19,VAW,VIS,5s
