k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,etf,bar_freq
-10,y_leads_x,1.921174530336922e-06,2.1713274266330673,0.02990643051288497,0.10390465938635995,66632,19,VAW,5s
-9,y_leads_x,-3.629555436354747e-07,-0.5773145519687656,0.5637269851211386,0.10390465938635995,66632,19,VAW,5s
-8,y_leads_x,-7.47266189667602e-07,-0.7764139567349198,0.43750460657967416,0.10390465938635995,66632,19,VAW,5s
-7,y_leads_x,9.313478407746127e-07,1.61605775698387,0.10608182631848995,0.10390465938635995,66632,19,VAW,5s
-6,y_leads_x,1.6498645278776852e-06,2.0364700850233572,0.04170317406212111,0.10390465938635995,66632,19,VAW,5s
-5,y_leads_x,2.81312319622709e-06,3.279099405728839,0.0010413894587470653,0.10390465938635995,66632,19,VAW,5s
-4,y_leads_x,2.520481693056715e-07,0.3365693566293621,0.7364415596164562,0.10390465938635995,66632,19,VAW,5s
-3,y_leads_x,1.5920536113765666e-06,3.479501043417341,0.0005023484130743046,0.10390465938635995,66632,19,VAW,5s
-2,y_leads_x,5.756748673758585e-06,6.664938986328194,2.6477532983568493e-11,0.10390465938635995,66632,19,VAW,5s
-1,y_leads_x,1.7009440569582355e-05,10.257235156365626,1.0980569715230464e-24,0.10390465938635995,66632,19,VAW,5s
1,x_leads_y,1.6866205654505643e-05,9.76495819830739,1.5917763799961666e-22,0.10390465938635995,66632,19,VAW,5s
2,x_leads_y,5.7723795163342915e-06,6.422850997411362,1.337453949172927e-10,0.10390465938635995,66632,19,VAW,5s
3,x_leads_y,1.5875861494216813e-06,3.5837544469372116,0.0003386905093677748,0.10390465938635995,66632,19,VAW,5s
4,x_leads_y,5.364839678790083e-07,0.784360822208636,0.4328284199710417,0.10390465938635995,66632,19,VAW,5s
5,x_leads_y,2.820957821418833e-06,3.3150219341897023,0.0009163593401513261,0.10390465938635995,66632,19,VAW,5s
6,x_leads_y,1.469227703562114e-06,1.7457379274273268,0.0808565013963969,0.10390465938635995,66632,19,VAW,5s
7,x_leads_y,1.016235377360861e-06,2.0376755336649066,0.04158239256357484,0.10390465938635995,66632,19,VAW,5s
8,x_leads_y,-8.165627018711071e-07,-0.9016886334828443,0.36722229271358753,0.10390465938635995,66632,19,VAW,5s
