ticker_x,ticker_y,date_start,date_end,shared_etf
AAAGASM-24SEP30-US-3.15,538APPROVEMAX-24SEP30-T43,2024-09-06,2024-09-26,VAW
KXECKH276,KXECDJT312,2024-11-04,2024-11-26,VAW
RATECUT-24SEP18,AAAGASM-24SEP30-US-3.15,2024-09-06,2024-09-18,VCR
RATECUT-24SEP18,538APPROVEMAX-24SEP30-T43,2024-09-04,2024-09-18,VCR
KXECKH276,KXECDJT281,2024-11-04,2024-11-25,VCR
KXAAAGASM-24NOV30-US-3.30,KXECKH276,2024-11-04,2024-11-20,VDC
KXAAAGASM-24NOV30-US-3.30,KXECDJT306,2024-11-04,2024-11-20,VDC
KXECKH276,KXECDJT306,2024-11-04,2024-11-26,VDC
KXECKH276,KXAAAGASM-24NOV30-US-3.30,2024-11-04,2024-11-20,VDE
KXECKH276,KXECDJT316,2024-11-04,2024-11-26,VDE
KXECKH276,FEDDECISION-24NOV-H0,2024-11-04,2024-11-07,VDE
KXAAAGASM-24NOV30-US-3.30,KXECDJT316,2024-11-04,2024-11-20,VDE
KXAAAGASM-24NOV30-US-3.30,FEDDECISION-24NOV-H0,2024-10-31,2024-11-07,VDE
KXECDJT316,FEDDECISION-24NOV-H0,2024-11-04,2024-11-07,VDE
KXECKH276,KX538APPROVEMIN-24NOV30-T37,2024-11-04,2024-11-26,VFH
KXECKH276,KXFEDDECISION-24DEC-C25,2024-11-04,2024-11-26,VFH
KXECDJT316,KXAAAGASM-24NOV30-US-3.30,2024-11-04,2024-11-20,VFH
KXECDJT316,KX538APPROVEMIN-24NOV30-T37,2024-11-04,2024-11-29,VFH
KXECDJT316,KXFEDDECISION-24DEC-C25,2024-11-04,2024-12-12,VFH
KXAAAGASM-24NOV30-US-3.30,KX538APPROVEMIN-24NOV30-T37,2024-11-04,2024-11-20,VFH
KXAAAGASM-24NOV30-US-3.30,KXFEDDECISION-24DEC-C25,2024-10-31,2024-11-20,VFH
KX538APPROVEMIN-24NOV30-T37,KXFEDDECISION-24DEC-C25,2024-11-04,2024-11-29,VFH
AAAGASM-24SEP30-US-3.15,RATECUT-24SEP18,2024-09-06,2024-09-18,VGT
KXECKH276,KX538APPROVEMAX-24NOV30-T41,2024-11-11,2024-11-25,VGT
KXECKH276,KXFEDDECISION-24DEC-H0,2024-11-04,2024-11-26,VGT
KX538APPROVEMAX-24NOV30-T41,KXECDJT281,2024-11-11,2024-11-25,VGT
KX538APPROVEMAX-24NOV30-T41,KXFEDDECISION-24DEC-H0,2024-11-11,2024-11-25,VGT
KXECDJT281,KXFEDDECISION-24DEC-H0,2024-11-04,2024-11-25,VGT
KXECKH287,KXAAAGASM-24NOV30-US-3.30,2024-11-04,2024-11-20,VNQ
KXECKH287,KXECDJT281,2024-11-04,2024-11-21,VNQ
KXECKH287,KX538APPROVEMIN-24NOV30-T37,2024-11-04,2024-11-21,VNQ
KXECKH287,FEDDECISION-24NOV-H0,2024-11-04,2024-11-07,VNQ
KXAAAGASM-24NOV30-US-3.30,KXECDJT281,2024-11-04,2024-11-20,VNQ
KXECDJT281,KX538APPROVEMIN-24NOV30-T37,2024-11-04,2024-11-25,VNQ
KXECDJT281,FEDDECISION-24NOV-H0,2024-11-04,2024-11-07,VNQ
KX538APPROVEMIN-24NOV30-T37,FEDDECISION-24NOV-H0,2024-11-04,2024-11-07,VNQ
RATECUT-24SEP18,FEDDECISION-24SEP-C25,2024-09-04,2024-09-18,VOX
AAAGASM-24SEP30-US-3.15,FEDDECISION-24SEP-C25,2024-09-06,2024-09-18,VOX
