contract_ticker,etf,contract_type,event_kind,sector,n_trades,activity,reliability,cal_kpos_05,cal_kneg_05,cal_kpos_10,cal_kneg_10,cal_kpos_15,cal_kneg_15,ev_kpos_05,ev_kneg_05,ev_kpos_10,ev_kneg_10,ev_kpos_15,ev_kneg_15,kpos_05,kneg_05,kpos_10,kneg_10,kpos_15,kneg_15,sig_kalshi_leads,sig_etf_leads,sig_total,lean_05,lean_10,lean_15,lean,probit_kalshi_leads,probit_etf_leads,granger_lean_cal,granger_lean_ev
KXECKH276,VFH,Election,Sharp(one-shot),Financials,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0,Kalshi-leads,No-sig-lead
KXECDJT316,VFH,Election,Sharp(one-shot),Financials,59,Medium(50-300),Very-low-info,0,1,0,3,0,3,0,0,0,0,0,0,0,1,0,3,0,3,0,1,3,ETF-leads,ETF-leads,ETF-leads,ETF-leads,0,0,No-sig-lead,not-estimable
KXECKH276,VIS,Election,Sharp(one-shot),Industrials,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0,Kalshi-leads,ETF-leads
538APPROVEMAX-24OCT31-T43,VOX,Approval,Continuous,Comm,11,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0,not-estimable,not-estimable
KXAAAGASM-24NOV30-US-3.30,VFH,GasPrice,Continuous,Financials,14,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0,not-estimable,not-estimable
RATECUT-24SEP18,VCR,Rates(FOMC),Sharp(one-shot),Cons.Disc,53,Medium(50-300),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0,not-estimable,not-estimable
KXECKH287,VNQ,Election,Sharp(one-shot),Real-Estate,39,Sparse(<50),Very-low-info,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,Kalshi-leads,Kalshi-leads,Kalshi-leads,Kalshi-leads,0,0,No-sig-lead,Balanced/mixed
KXECKH276,VCR,Election,Sharp(one-shot),Cons.Disc,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0,No-sig-lead,ETF-leads
FEDDECISION-24SEP-C25,VDC,Rates(FOMC),Sharp(one-shot),Cons.Staples,1125,Active(>300),Adequate,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,2,2,2,0,1,4,ETF-leads,ETF-leads,Balanced/mixed,Balanced/mixed,2,3,No-sig-lead,No-sig-lead
KXECKH276,VDE,Election,Sharp(one-shot),Energy,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0,Kalshi-leads,Kalshi-leads
AAAGASM-24SEP30-US-3.15,VIS,GasPrice,Continuous,Industrials,24,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0,not-estimable,not-estimable
