contract_ticker,etf,freq,ran,n_obs,n_days,K,df,n_sig,kpos,kneg,lean
KXECKH276,VFH,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VFH,60min,False,7,0,,,0,0,0,not-estimable
KXECDJT316,VFH,30min,False,19,0,,,0,0,0,not-estimable
KXECDJT316,VFH,60min,False,15,0,,,0,0,0,not-estimable
KXECKH276,VIS,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VIS,60min,False,7,0,,,0,0,0,not-estimable
538APPROVEMAX-24OCT31-T43,VOX,30min,False,2,0,,,0,0,0,not-estimable
538APPROVEMAX-24OCT31-T43,VOX,60min,False,1,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VFH,30min,False,3,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VFH,60min,False,2,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VCR,30min,False,18,0,,,0,0,0,not-estimable
RATECUT-24SEP18,VCR,60min,False,16,0,,,0,0,0,not-estimable
KXECKH287,VNQ,30min,False,14,0,,,0,0,0,not-estimable
KXECKH287,VNQ,60min,False,9,0,,,0,0,0,not-estimable
KXECKH276,VCR,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VCR,60min,False,7,0,,,0,0,0,not-estimable
FEDDECISION-24SEP-C25,VDC,30min,True,93,11,6.0,69.0,0,0,0,No-sig
FEDDECISION-24SEP-C25,VDC,60min,True,50,10,5.0,29.0,0,0,0,No-sig
KXECKH276,VDE,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VDE,60min,False,7,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VIS,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VIS,60min,False,4,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VGT,30min,False,5,0,,,0,0,0,not-estimable
AAAGASM-24SEP30-US-3.15,VGT,60min,False,4,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDE,30min,False,3,0,,,0,0,0,not-estimable
KXAAAGASM-24NOV30-US-3.30,VDE,60min,False,2,0,,,0,0,0,not-estimable
KXECKH276,VOX,30min,False,12,0,,,0,0,0,not-estimable
KXECKH276,VOX,60min,False,7,0,,,0,0,0,not-estimable
