k_lag,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,n_members_used,n_params,n_active,n_ylags,group,etf,mode,K_chosen,n_active_events,n_members,p_fdr
-8,etf_leads_kalshi,0.00010307371453964058,1.193840194673867,0.23254048529653482,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3593807500037356
-7,etf_leads_kalshi,0.0002087474843148554,1.545728339103519,0.12217019009780136,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3420504009059258
-6,etf_leads_kalshi,0.0003028141774767916,2.380133075570973,0.017306386888458952,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.10661456547715317
-5,etf_leads_kalshi,0.00017854683805786862,1.3558056850325932,0.1751610020139941,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3420504009059258
-4,etf_leads_kalshi,0.0002217956775049417,1.63493746228859,0.10206215816958487,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3420504009059258
-3,etf_leads_kalshi,0.00023078700566990206,1.2781228361375165,0.20120611817995637,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3420504009059258
-2,etf_leads_kalshi,0.00020260047333669524,1.435271034812437,0.15120987833482827,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3420504009059258
-1,etf_leads_kalshi,0.0002036497003402567,0.9753920978529196,0.3293658019193728,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.46660155271911147
0,contemp,1.8365567211494595e-05,0.12884057161221132,0.8974838015530237,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.8974838015530237
1,kalshi_leads_etf,0.00011835498209218737,0.6490716821423013,0.5162920444939818,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.6269260540284065
2,kalshi_leads_etf,-4.8793074219893725e-05,-0.7062167450503032,0.48005335851775155,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.6269260540284065
3,kalshi_leads_etf,-0.00025013808389213744,-2.3491893747452672,0.018814335084203503,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.10661456547715317
4,kalshi_leads_etf,-0.00026393340028197157,-1.615669036308856,0.10616588897450946,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3420504009059258
5,kalshi_leads_etf,3.799027114911726e-05,0.43388809224462144,0.6643697072252195,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.7058928139267957
6,kalshi_leads_etf,0.00010636656313808683,1.3360442131027954,0.18153482246801056,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.3420504009059258
7,kalshi_leads_etf,0.00018377523226358197,5.572019291866249,2.5180352936655453e-08,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,4.280659999231427e-07
8,kalshi_leads_etf,1.703046887377085e-05,0.5539369997919538,0.5796219622506453,0.507039807169998,65,2,4,21,44,0,ELECTION_trump_fav,VAW,event,8,289,6,0.6569048905507314
-8,etf_leads_kalshi,0.0002496686821846012,14.123172125767688,2.7340210092747606e-45,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,2.3239178578835463e-44
-7,etf_leads_kalshi,0.00015894380027017113,4.951624319588077,7.359657941378384e-07,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,3.1278546250858135e-06
-6,etf_leads_kalshi,0.0002941046312905954,9.6593015551153,4.489140558219085e-22,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,2.5438463163241477e-21
-5,etf_leads_kalshi,0.0001524421464617465,14.769395952649006,2.3077191952118875e-49,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,3.923122631860209e-48
-4,etf_leads_kalshi,8.729292324949816e-05,2.154732727105632,0.031182755237655117,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.06626335488001713
-3,etf_leads_kalshi,0.00012998837955728801,1.368747341131987,0.17107826649405,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.24236087753323748
-2,etf_leads_kalshi,-2.76345748934262e-05,-0.6612727997716512,0.5084373817863393,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.5402147181479856
-1,etf_leads_kalshi,9.611205248532426e-05,0.9427427219383798,0.3458125155412759,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.39192085094677936
0,contemp,0.00015046571938483823,1.4950332951664453,0.13490575291954143,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.2084907090574731
1,kalshi_leads_etf,-0.0002208344400672134,-3.6679408707135424,0.00024451170933715774,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.0008313398117463363
2,kalshi_leads_etf,-3.4143757123963176e-05,-0.27085006243913096,0.7865063541658079,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.7865063541658079
3,kalshi_leads_etf,-0.00045039993430260467,-3.39308440634589,0.0006911033937190234,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.0019581262822038997
4,kalshi_leads_etf,-0.0002943015615979167,-1.7400380969563944,0.08185232865318409,0.6628241162230859,65,2,4,21,44,0,ELECTION_trump_fav,VCR,event,8,289,6,0.13914895871041294
