k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
-8,etf_leads_kalshi,-0.05497794136444045,-1.716944934845079,0.08598923361264588,0.002158210328269683,105,64,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.2088309959164257
-7,etf_leads_kalshi,-0.009002936032980788,-0.23218974200277012,0.8163906447643529,5.3942437587939374e-05,117,71,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.8647193213595405
-6,etf_leads_kalshi,0.02041548612426884,0.47420451711485306,0.6353540725186091,0.00026932798826106996,130,78,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.8308476332935658
-5,etf_leads_kalshi,-0.11665001103416128,-4.985477562469257,6.180895229947399e-07,0.007687679953374937,145,85,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,3.5025072969701925e-06
-4,etf_leads_kalshi,0.004938492022593375,0.1850271166178894,0.8532077667907976,1.2993227056612433e-05,161,91,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.8647193213595405
-3,etf_leads_kalshi,-0.02071715111308061,-0.7248962195502998,0.46851570029036604,0.0002127606329771492,179,100,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.7696316864259317
-2,etf_leads_kalshi,-0.05590936616859768,-1.2860294814346411,0.1984327729151475,0.0014609229610491603,199,109,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.4216696424446884
-1,etf_leads_kalshi,0.06474052207672797,2.710849811449759,0.006711101669915609,0.002161704340865267,224,124,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.028522182097141337
0,contemp,-0.024232900324566767,-0.8016205050047285,0.42277251268472416,0.00027066680767251494,260,139,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.7696316864259317
1,kalshi_leads_etf,-0.11101462082998986,-2.355939787036456,0.018475912262494842,0.005695319830585244,224,122,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.05234841807706872
2,kalshi_leads_etf,0.14814557810045942,8.44669302147947,2.996703443126125e-17,0.01038850517506984,199,107,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,2.5471979266572066e-16
3,kalshi_leads_etf,0.0188223501164159,0.6078764411857387,0.5432694257124224,0.00019036244055048446,179,97,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.7696316864259317
4,kalshi_leads_etf,-0.1436435914452549,-11.753650928484829,6.763229985581672e-32,0.01075169800980913,161,89,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,1.1497490975488842e-30
5,kalshi_leads_etf,0.008317641230585333,0.3541132766267936,0.7232539926291253,3.84241268657215e-05,145,82,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.8647193213595405
6,kalshi_leads_etf,0.20400629109881824,2.5695098770825853,0.010184248855627187,0.019444462789558248,130,74,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.03462644610913244
7,kalshi_leads_etf,0.013812022762490973,0.17036979956140502,0.8647193213595405,8.397936450388332e-05,117,69,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.8647193213595405
8,kalshi_leads_etf,0.04311134706407549,0.608435850653237,0.5428984400577408,0.0008282190539773415,105,60,calendar,10min,8,261,ELECTION_trump_fav,VAW,6,0.7696316864259317
-8,etf_leads_kalshi,-0.11256779005750102,-3.318873014986937,0.000903815199602318,0.007846555742438865,131,84,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.0051216194644131356
-7,etf_leads_kalshi,-0.03428109492789042,-1.7086115570100175,0.08752292646895775,0.0007072307849298465,143,90,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.18598621874653523
-6,etf_leads_kalshi,0.08901361961637996,2.133213564210195,0.032907210915294874,0.0047320858646612285,157,97,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.07991751222285898
-5,etf_leads_kalshi,-0.06266201128949161,-1.2871779492567739,0.19803227116851085,0.002159256880507998,172,105,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.3247561127173016
-4,etf_leads_kalshi,0.027916275046820753,1.2531907149928803,0.21013630822884222,0.0003973589502608288,188,113,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.3247561127173016
-3,etf_leads_kalshi,-0.08899073036279237,-2.515913532892497,0.01187243061175687,0.003746487798443554,206,123,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.04036626407997336
-2,etf_leads_kalshi,-0.0757053315666175,-2.1827289599254636,0.029055775931204196,0.0025972035274478555,226,132,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.07991751222285898
-1,etf_leads_kalshi,0.17114289693886006,3.9972421711420654,6.408473090001651e-05,0.01364818874456597,251,140,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.0005447202126501404
0,contemp,-0.06778921682550211,-0.9698954118535775,0.3320986272879095,0.002099875600208856,287,154,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.4032626188496044
1,kalshi_leads_etf,0.02733070667638975,0.4236764254689212,0.671801810197705,0.000355792572416358,251,137,event,event(active),8,289,ELECTION_trump_fav,VAW,6,0.671801810197705
