group,etf
ELECTION_trump_fav,VAW
ELECTION_trump_fav,VCR
ELECTION_trump_fav,VDC
ELECTION_trump_fav,VDE
ELECTION_trump_fav,VFH
ELECTION_trump_fav,VGT
ELECTION_trump_fav,VIS
ELECTION_trump_fav,VNQ
ELECTION_trump_fav,VOX
FOMC_easing,VCR
FOMC_easing,VDC
FOMC_easing,VDE
FOMC_easing,VFH
FOMC_easing,VGT
FOMC_easing,VIS
FOMC_easing,VNQ
FOMC_easing,VOX
FOMC_easing,VPU
GAS_above,VAW
GAS_above,VCR
GAS_above,VDC
GAS_above,VDE
GAS_above,VFH
GAS_above,VGT
GAS_above,VHT
GAS_above,VIS
GAS_above,VNQ
GAS_above,VOX
GAS_above,VPU
APPROVAL_strength,VAW
APPROVAL_strength,VCR
APPROVAL_strength,VFH
APPROVAL_strength,VGT
APPROVAL_strength,VHT
APPROVAL_strength,VIS
APPROVAL_strength,VNQ
APPROVAL_strength,VOX
