rank,order_idx,tag,contract_ticker,etf,contract_title,has_result,n_sig,best_p,n_trades,has_zoom,zoom_bar
1,47,47_KXFEDDECISION-24DEC-C25_VIS,KXFEDDECISION-24DEC-C25,VIS,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?,True,14,0.0373998769200194,2308,False,
2,42,42_KXFEDDECISION-24DEC-C25_VFH,KXFEDDECISION-24DEC-C25,VFH,Will the Federal Reserve Cut rates by 25bps at their December 2024 meeting?,True,9,0.049118304585707,2308,False,
3,48,48_KXFEDDECISION-24DEC-H0_VGT,KXFEDDECISION-24DEC-H0,VGT,Will the Federal Reserve Hike rates by 0bps at their December 2024 meeting?,True,12,0.0736716557842036,1375,False,
4,30,30_FEDDECISION-24SEP-C25_VOX,FEDDECISION-24SEP-C25,VOX,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?,True,7,0.0068316568198563,1125,True,1min
5,31,31_FEDDECISION-24SEP-C25_VPU,FEDDECISION-24SEP-C25,VPU,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?,True,6,0.4251225886014084,1125,True,1min
6,9,09_FEDDECISION-24SEP-C25_VDC,FEDDECISION-24SEP-C25,VDC,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?,True,4,0.6219363002744647,1125,True,1min
7,46,46_FEDDECISION-24NOV-H0_VNQ,FEDDECISION-24NOV-H0,VNQ,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?,True,3,0.3306682858922198,452,False,
8,45,45_FEDDECISION-24NOV-H0_VDE,FEDDECISION-24NOV-H0,VDE,Will the Federal Reserve Hike rates by 0bps at their November 2024 meeting?,True,0,0.7963348673506031,452,False,
9,29,29_KXECDJT281_VNQ,KXECDJT281,VNQ,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,9,4.347045957239637e-06,308,True,5min
10,36,36_KXECDJT281_VOX,KXECDJT281,VOX,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,6,1.622227584126551e-05,308,True,5min
11,39,39_KXECDJT281_VGT,KXECDJT281,VGT,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,4,3.825929333466493e-05,308,True,5min
12,41,41_KXECDJT281_VCR,KXECDJT281,VCR,"Will Trump win 281-257 - AZ, GA, NC, PA?",True,4,0.0114316507286309,308,True,5min
13,40,40_KXECDJT312_VAW,KXECDJT312,VAW,Will Trump win 312-226 - swing state sweep?,True,7,0.0076413967767411,232,True,10min
14,37,37_KXECDJT306_VDC,KXECDJT306,VDC,"Will Trump win 306-232 - AZ, GA, MI, PA, WI, NC?",True,8,2.3549325932950764e-19,123,True,10min
15,2,02_KXECDJT316_VFH,KXECDJT316,VFH,"Will Trump win 316-222 - AZ, GA, MI, MN, NC, PA, WI?",True,3,0.0019501817782649,59,True,10min
