,share_weight
VAW,0.0016609940539146911
VCR,0.003553103257705746
VDC,-0.005519025643942521
VDE,-0.0029381244488820846
VFH,0.0035743149929118
VGT,-0.0043166268775991536
VHT,0.004963980706655663
VIS,-0.00453248335205457
VNQ,-0.00620598448567565
VOX,-0.003174855823181078
VPU,-0.001918273985114391
MARA,0.013366874623781139
COIN,-0.0004180052597826851
GEO,0.005364360765587134
IBKR,0.006145893257146706
FSLR,-0.00024313942586019245
RUN,-0.004002299981649983
DHI,0.00012772927765679343
TAN,-0.0031086227980959835
