k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,mean_window_sec,x_ticker,y_ticker
-10,y_leads_x,-0.004055127046115259,-9.163860927900457,5.0072984311856104e-20,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-9,y_leads_x,0.006956372828553147,12.616737658131774,1.7074938832221784e-36,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-8,y_leads_x,0.009627173375182398,21.706633977555448,1.77597555107323e-104,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-7,y_leads_x,-0.003687031981978729,-2.66451265812336,0.007709996468737383,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-6,y_leads_x,0.00807297970891003,92.01760787295876,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-5,y_leads_x,0.008200797715169931,13.194438557635797,9.445597044937496e-40,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-4,y_leads_x,-0.0002528996985111725,-3.929782564396995,8.502271069132469e-05,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-3,y_leads_x,0.0032848900972979184,186.06113530450435,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-2,y_leads_x,0.0005318544968684067,0.9861429334942934,0.3240629780213329,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-1,y_leads_x,-0.007865122623746293,-8.863418983011151,7.759729089630725e-19,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
0,contemporaneous,-0.002573007175353955,-2.6214272371902148,0.008756245184041398,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
1,x_leads_y,-0.004113486028801538,-5.171904474276604,2.3172004393464316e-07,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
2,x_leads_y,0.009048156891807938,39.36025015927087,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
3,x_leads_y,-0.0011793790813261745,-1.5866987680658626,0.11258088549710082,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
4,x_leads_y,0.00865161250441055,18.441752691649185,6.074005443375325e-76,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
5,x_leads_y,0.010410856619111383,57.57823105778963,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
6,x_leads_y,0.017093021982557563,344.5954664171967,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
7,x_leads_y,-0.004992969108103729,-10.997781689611074,3.916479346663601e-28,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
8,x_leads_y,0.01483377815547017,93.70222911801389,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
9,x_leads_y,0.011424816829237506,60.226438927917314,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
10,x_leads_y,0.014641429341854854,38.402306990338744,0.0,0.10340519390649838,269,3,,KXECDJT281,KXECDJT312
-10,y_leads_x,0.009721332126363683,0.8334198010954992,0.4046080111057846,0.2699776332032099,102,2,,KXECDJT281,KXECDJT306
