ticker_x,ticker_y,date_start,date_end
KXECDJT281,KXECDJT312,2024-11-04,2024-11-25
KXECDJT281,KXECDJT306,2024-11-04,2024-11-25
KXECDJT281,KXECDJT316,2024-11-04,2024-11-25
KXECDJT306,KXECDJT312,2024-11-04,2024-12-12
KXECDJT312,KXECDJT316,2024-11-04,2024-12-12
KXECKH276,KXECKH287,2024-11-04,2024-11-21
KXECDJT281,KXECKH276,2024-11-04,2024-11-25
FEDDECISION-24SEP-C25,RATECUT-24SEP18,2024-09-04,2024-09-18
KXFEDDECISION-24DEC-C25,KXFEDDECISION-24DEC-H0,2024-10-31,2024-12-18
FEDDECISION-24NOV-H0,KXFEDDECISION-24DEC-H0,2024-10-31,2024-11-07
538APPROVEMAX-24SEP30-T43,538APPROVEMAX-24OCT31-T43,2024-10-07,2024-10-31
KX538APPROVEMAX-24NOV30-T41,KX538APPROVEMIN-24NOV30-T37,2024-11-11,2024-11-25
AAAGASM-24SEP30-US-3.15,AAAGASM-24OCT31-US-3.15,2024-10-02,2024-10-30
AAAGASM-24OCT31-US-3.20,AAAGASM-24OCT31-US-3.15,2024-10-02,2024-10-30
AAAGASM-24OCT31-US-3.20,KXAAAGASM-24NOV30-US-3.30,2024-10-31,2024-11-20
