ticker,beta,se,t_stat,p_value,n_obs,weight_plan_a_sign_equal,weight_plan_b_beta_weighted,weight_plan_c_min_variance
VAW,-0.1229375838779653,0.06832824235094359,-1.7992206391983618,0.07198378588933443,29,-1.0503693351404757,-1.6655080382467786,-2.4584990284094057
VCR,-0.09180820365125401,0.06419029482823717,-1.4302505370464165,0.15264512554109527,29,-1.0503693351404757,-0.9790757508304146,0.7873732884179777
VDC,-0.054163794908092346,0.028690671115414644,-1.887853884288951,0.059045568956034085,29,-1.0503693351404757,-0.14898092035794286,-1.3051319575743334
VDE,0.043443207122615575,0.05586857362016548,0.7775964966990847,0.4368069269743491,29,2.8009848937079354,2.0033458263949875,1.9105346761652158
VFH,0.042455868377163614,0.0530652908094826,0.8000685142684054,0.4236711022451004,29,2.8009848937079354,1.981574072875981,-0.4136744216489655
VGT,-0.05795551901634951,0.08583220549168388,-0.6752188025969426,0.4995367623997222,29,-1.0503693351404757,-0.2325920245279314,0.5498799944600476
VHT,0.031527111839142086,0.07468850153494018,0.4221146654601622,0.6729413239504866,29,2.8009848937079354,1.7405846508452294,3.9899086766519374
VIS,-0.08012098954503268,0.08018085205667182,-0.9992534063918798,0.3176719503304275,29,-1.0503693351404757,-0.7213616217975973,-0.6037138751982406
VNQ,-0.03228901924325562,0.05560940432943328,-0.5806395452821905,0.5614834141213692,29,-1.0503693351404757,0.3333785801196555,1.2896582796176705
VOX,-0.03592609698094399,0.04792538886790064,-0.7496255706963391,0.4534802457734781,29,-1.0503693351404757,0.2531775747411324,-0.626369390034419
VPU,-0.16370836552107126,0.053335051164512225,-3.069432989125894,0.0021446551239552563,29,-1.0503693351404757,-2.564542349216322,-3.1199662424474854
