,share_weight
VAW,0.0016609933404169966
VCR,0.0035531419589716626
VDC,-0.005518983551950603
VDE,-0.0029380864043745997
VFH,0.00357400808294705
VGT,-0.00431674575111275
VHT,0.004964010704089442
VIS,-0.0045324132867388765
VNQ,-0.006205848953510095
VOX,-0.0031748709725087573
VPU,-0.0019183462934657756
MARA,0.013366737301735118
COIN,-0.0004179977005445524
GEO,0.005364361153102859
IBKR,0.00614595928219304
FSLR,-0.00024315495735269902
RUN,-0.004002157454051691
DHI,0.000127693890832115
TAN,-0.0031085570222984123
