k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,ticker,bar_freq
-4,y_leads_x,-0.10432750287654746,-8.158025136861138,3.4054665609878753e-16,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
-3,y_leads_x,-0.1425024609857645,-4.176724656290956,2.9573664872381715e-05,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
-2,y_leads_x,-0.1379515470121441,-3.355262879730488,0.0007928959848287097,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
-1,y_leads_x,-0.08794468502546433,-6.184865079369229,6.215560728584349e-10,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
1,x_leads_y,-0.06519399569110468,-2.355201374123363,0.018512670249724382,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
2,x_leads_y,0.001370430101170189,0.19597489301293686,0.844629817410531,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
3,x_leads_y,-0.02039378780485121,-1.4805498264992019,0.13872657382708034,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
4,x_leads_y,-0.03497206804119322,-2.113353404424265,0.034570530956159404,0.9153161312518541,26,7,4,11,medium,1.2496783551001534e-139,2.6998717790716983e-114,AAAGASM-24SEP30-US-3.15,600s
-10,y_leads_x,-0.004351687568464775,-2.5700438050964194,0.010168565606130869,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-9,y_leads_x,-0.010054560728004446,-1.763081589619262,0.07788672982350911,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-8,y_leads_x,-0.00409266477329338,-0.767579531375539,0.44273702670100334,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-7,y_leads_x,0.011535763519892508,3.7744863669947915,0.00016033767583774743,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-6,y_leads_x,0.01938150993800606,2.213119919390493,0.026889379148521953,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-5,y_leads_x,0.008700363762419174,0.8291702736986643,0.4070080632678187,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-4,y_leads_x,9.679796176310582e-05,0.014099466366602075,0.9887506261915512,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-3,y_leads_x,-0.00035045069466516435,-0.045296184858066316,0.9638712283613108,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-2,y_leads_x,-0.010688432573086565,-1.2301298560154752,0.2186484814440408,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-1,y_leads_x,-0.03709338357176439,-37.202572965237145,6.200779789099786e-303,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
1,x_leads_y,-0.03760756891161332,-57.729965541037245,0.0,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
2,x_leads_y,-0.009926766953046215,-1.1170231359613239,0.26398443305904773,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
3,x_leads_y,-1.0180006119429874e-06,-0.00015205070277444393,0.9998786810922645,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
4,x_leads_y,-0.0004385676288628515,-0.30669634391889533,0.7590745128919397,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
5,x_leads_y,0.006372467561979834,5.9104731256348675,3.411265053592948e-09,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
6,x_leads_y,0.01629877471911667,3.6162548112957027,0.0002988961628341354,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
7,x_leads_y,0.008767156172878186,0.8740387118123755,0.38209717217306916,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
8,x_leads_y,-0.006570316539858659,-0.7964389130369678,0.425776968155011,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
9,x_leads_y,-0.012383630634851647,-2.876582466196008,0.004020071364051099,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
10,x_leads_y,-0.006163793791116518,-4.589898843920032,4.4346086839661945e-06,0.8596542160816628,68,4,10,44,high,0.0,3.3573432716033056e-276,KXECKH276,600s
-10,y_leads_x,-0.00043764986740725694,-3.6532882883077593,0.0002589032689164957,0.9965565449209153,49,10,10,19,medium,0.0,0.0,RATECUT-24SEP18,600s
