direction,cause_col,effect_col,k,coef,t_stat,p_value,p_granger,r_squared,n_obs,n_days,k_used,n_ylags,dof,cov_type,reliability_tier,x_etf,y_etf,bar_freq
x_to_y,ret_x,ret_y,1,2.7680675749798558e-05,11.054617036742544,2.082235711478906e-28,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,2,-4.807672477784482e-07,-0.7585244431212136,0.4481370857595025,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,3,5.105763945770806e-06,4.6881356249414905,2.7570528356403967e-06,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,4,6.678837870540458e-07,0.7499063880688104,0.4533110868460496,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,5,2.0366038530651784e-06,2.4421314078670613,0.014600830884457147,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,6,4.7044705395415004e-07,0.5282386217373624,0.597333726338539,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,7,3.7710415479465517e-07,0.5014379658115073,0.6160629258976743,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,8,-1.8759374874931718e-07,-0.2097346040339052,0.8338748160452133,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,9,5.126871038595325e-07,0.449831953533356,0.6528316157212426,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,10,-3.227142001181944e-07,-0.5160439947139817,0.6058236823099195,4.431890189011524e-251,0.13457921855813337,59515,19,10,3,59483,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,1,2.0517241970079204e-05,25.98865979742448,6.652768265562772e-149,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,2,5.030447324728027e-07,0.5468572310977661,0.5844768206534132,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,3,1.3774152316692494e-06,1.4207073013599354,0.15540186902879075,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,4,2.4778028133156186e-06,3.6354767640890673,0.0002774670038392889,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,5,1.095148262093217e-06,2.449290642908258,0.014313789474067144,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,6,1.5433693711557739e-06,3.0624143073644747,0.0021955933006828038,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,7,-2.211976280832534e-07,-0.43195424566167817,0.6657746677681402,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,8,-4.860328771621726e-08,-0.09766400593255095,0.922199097979543,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,9,1.8752817806950312e-06,1.6632667139885482,0.09625905853048905,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
y_to_x,ret_y,ret_x,10,-6.636565133099556e-07,-0.8444601065184724,0.398412346900459,3.4881734956371237e-295,0.19235198836386502,59515,19,10,2,59484,cluster_by_day,high,VAW,VIS,5s
x_to_y,ret_x,ret_y,1,1.4626844438929169e-05,15.533915408291964,2.045028848012232e-54,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,2,-2.641575741294425e-06,-3.2574810701965817,0.0011240575532023408,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,3,2.2720002463084948e-06,2.164711473182639,0.030409787900054237,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,4,-2.464038794435232e-07,-0.2443291462065836,0.8069759119623173,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,5,1.1264232090292812e-06,1.4762924117608285,0.13986541034992012,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,6,3.493565111242715e-08,0.07099885903373512,0.9433986635599878,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,7,1.1990689881871676e-06,1.4874644951122185,0.1368921738191161,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,8,-2.1554107569740415e-06,-1.9645346699113948,0.049468119754299225,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
x_to_y,ret_x,ret_y,9,2.122378203118969e-06,1.6306125205566293,0.10297210557933122,3.9158122479784336e-153,0.12278786770543215,64625,19,10,5,64591,cluster_by_day,high,VAW,VCR,5s
