k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,p_joint_x_leads_y,p_joint_y_leads_x,etf,bar_freq
-10,y_leads_x,6.015956308606635e-07,1.2015782229718242,0.22952698295720209,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-9,y_leads_x,2.7417624850827645e-07,0.18285386343796017,0.8549126841015628,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-8,y_leads_x,-8.445667535107307e-07,-0.6405684021456672,0.5218031344344269,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-7,y_leads_x,8.421972779645457e-07,1.3127271363833333,0.18927491016640496,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-6,y_leads_x,1.0494834472863387e-06,1.7281926185001348,0.08395369668204779,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-5,y_leads_x,1.6633122691731576e-06,3.920148312917192,8.84944905892696e-05,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-4,y_leads_x,-5.8282472128353824e-08,-0.0885010560673728,0.9294784450138015,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-3,y_leads_x,6.406612999296122e-07,0.5464957908307616,0.5847251802869995,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-2,y_leads_x,4.0734716303723714e-07,0.39510293101559546,0.6927669258499896,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-1,y_leads_x,2.815679020711593e-05,20.478113711515366,3.3747607723013727e-93,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
1,x_leads_y,2.80822904412403e-05,20.343448965174268,5.30642572387667e-92,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
2,x_leads_y,4.325951019548696e-07,0.43043594701662014,0.6668785512043173,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
3,x_leads_y,6.272387316087959e-07,0.5390167283581488,0.5898753119029111,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
4,x_leads_y,-2.499263494693624e-07,-0.35564899574340536,0.7221034461804617,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
5,x_leads_y,2.029412796838242e-06,3.989604678615491,6.61835068126838e-05,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
6,x_leads_y,8.011848235149426e-07,1.1926964072320356,0.23298829322237335,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
7,x_leads_y,7.293840301657801e-07,1.2230746211001888,0.22130151321464653,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
8,x_leads_y,-5.31837701695368e-07,-0.40582778383210744,0.6848691426426495,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
9,x_leads_y,-1.3106658330711132e-07,-0.08489171137912664,0.9323474813620206,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
10,x_leads_y,1.021388691137771e-06,1.854486173859127,0.06366963639439982,0.26656818853458164,66614,19,10,66575,high,0.0,0.0,VAW,5s
-10,y_leads_x,2.56880086196923e-07,0.3695573698023975,0.7117123196684115,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
-9,y_leads_x,4.929715890766298e-07,0.7242312673843192,0.4689237656825992,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
-8,y_leads_x,1.3189882269238916e-07,0.17658542299683716,0.8598340449042219,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
-7,y_leads_x,-3.0515479207710554e-07,-0.5571483692798985,0.5774260622380225,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
-6,y_leads_x,1.416414223728089e-06,2.6322572508553974,0.00848196120312824,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
-5,y_leads_x,1.16192429655774e-06,1.371030741635432,0.17036537309081123,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
-4,y_leads_x,-2.066927287625654e-07,-0.27322914591641967,0.7846770768567116,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
-3,y_leads_x,1.4400841900039906e-06,1.53677692398344,0.12434794620083335,0.1597409687810577,76952,19,10,76913,high,0.0,7.288356954198954e-256,VIS,5s
