k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,mean_window_sec,x_etf,y_etf
-10,y_leads_x,-5.3347149570917444e-08,-0.49675670115345527,0.6193606322665045,0.09969144331856294,822860,75,,VFH,VNQ
-9,y_leads_x,1.7743496786605608e-07,0.9939453661278962,0.3202494664040183,0.09969144331856294,822860,75,,VFH,VNQ
-8,y_leads_x,2.842938613271144e-07,1.864857102751379,0.06220143669416331,0.09969144331856294,822860,75,,VFH,VNQ
-7,y_leads_x,1.5525578544880142e-07,1.1308659318737526,0.25811152431565454,0.09969144331856294,822860,75,,VFH,VNQ
-6,y_leads_x,4.48198709047e-07,2.1478405873106707,0.031726421498994205,0.09969144331856294,822860,75,,VFH,VNQ
-5,y_leads_x,-3.4253952303888205e-08,-0.1666547895079833,0.8676416806793237,0.09969144331856294,822860,75,,VFH,VNQ
-4,y_leads_x,-1.2708493826898074e-08,-0.07244130849731502,0.9422507117027978,0.09969144331856294,822860,75,,VFH,VNQ
-3,y_leads_x,4.58207620319235e-07,1.7470951884125514,0.08062082789598667,0.09969144331856294,822860,75,,VFH,VNQ
-2,y_leads_x,1.2085025111824681e-06,2.7542654920666263,0.0058824028853697264,0.09969144331856294,822860,75,,VFH,VNQ
-1,y_leads_x,4.937706878104301e-06,3.0199693838543604,0.002528002384793268,0.09969144331856294,822860,75,,VFH,VNQ
0,contemporaneous,2.4870327092350917e-05,3.0019907661594307,0.0026822031146762986,0.09969144331856294,822860,75,,VFH,VNQ
1,x_leads_y,1.554820616151189e-06,1.3246777350951218,0.18527806090438148,0.09969144331856294,822860,75,,VFH,VNQ
2,x_leads_y,-8.310206870786543e-07,-1.157436388681689,0.2470941142814801,0.09969144331856294,822860,75,,VFH,VNQ
3,x_leads_y,7.563929018455624e-07,2.0329553804707365,0.04205703112647644,0.09969144331856294,822860,75,,VFH,VNQ
4,x_leads_y,4.867754065770912e-07,1.2645743793871793,0.20602394215089082,0.09969144331856294,822860,75,,VFH,VNQ
5,x_leads_y,-7.523738994459014e-07,-2.3974587647771854,0.016509239061864873,0.09969144331856294,822860,75,,VFH,VNQ
