k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,ticker,bar_freq
-4,y_leads_x,-0.10432750287654746,-8.158025136861138,3.4054665609878753e-16,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
-3,y_leads_x,-0.1425024609857645,-4.176724656290956,2.9573664872381715e-05,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
-2,y_leads_x,-0.1379515470121441,-3.355262879730488,0.0007928959848287097,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
-1,y_leads_x,-0.08794468502546433,-6.184865079369229,6.215560728584349e-10,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
1,x_leads_y,-0.06519399569110468,-2.355201374123363,0.018512670249724382,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
2,x_leads_y,0.001370430101170189,0.19597489301293686,0.844629817410531,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
3,x_leads_y,-0.02039378780485121,-1.4805498264992019,0.13872657382708034,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
4,x_leads_y,-0.03497206804119322,-2.113353404424265,0.034570530956159404,0.9153161312518541,26,7,4,11,medium,AAAGASM-24SEP30-US-3.15,600s
-10,y_leads_x,-0.004039184326372891,-2.0325688989642883,0.0420960963140347,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-9,y_leads_x,-0.008993245714056231,-1.4858735463032955,0.13731257196928734,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-8,y_leads_x,-0.0024656055448185714,-0.42642639598436677,0.6697971707294246,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-7,y_leads_x,0.012500896519686675,5.199054748410305,2.0030452655551806e-07,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-6,y_leads_x,0.019307520544924826,2.249475738820939,0.024482244679054268,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-5,y_leads_x,0.008372164574602511,0.7959846340710625,0.42604096668151803,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-4,y_leads_x,-6.40236959954868e-05,-0.009243587844207096,0.9926247890006501,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-3,y_leads_x,-0.0008294641817403227,-0.10469798049122242,0.9166154644905941,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-2,y_leads_x,-0.011718758787168524,-1.2683890753839995,0.20465904100429522,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-1,y_leads_x,-0.03785942432239635,-254.4631763437949,0.0,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
1,x_leads_y,-0.03754190003778308,-65.95140098637283,0.0,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
2,x_leads_y,-0.01034278402594168,-1.2323796941570269,0.21780728253146875,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
3,x_leads_y,-0.0005624947595612752,-0.08386171601379097,0.9331663784908169,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
4,x_leads_y,-0.0007713563481409683,-0.634801634595711,0.5255577970835602,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
5,x_leads_y,0.0057507838269899355,6.956433003326976,3.4899610589530956e-12,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
6,x_leads_y,0.015212485000302062,2.5243870074100854,0.011590025704590444,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
7,x_leads_y,0.008268560358681164,0.7177125801078473,0.47293452491204746,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
8,x_leads_y,-0.0059396452646716695,-0.7155900694824732,0.47424450723165856,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
9,x_leads_y,-0.011205176594259895,-3.740864706898366,0.0001833882243300744,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
10,x_leads_y,-0.005595179390518893,-10.783150287189898,4.134778051561852e-27,0.8597535283454683,68,4,10,44,high,KXECKH276,600s
-10,y_leads_x,-0.00043764986740725694,-3.6532882883077593,0.0002589032689164957,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-9,y_leads_x,-0.001192443318037354,-5.8945202743302625,3.757714605898322e-09,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-8,y_leads_x,-0.001966608560677787,-7.709545862580823,1.2626624143137517e-14,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-7,y_leads_x,-0.0031261820833729894,-13.099209728623178,3.327037640972403e-39,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-6,y_leads_x,-0.003990052811051154,-11.547152985232497,7.630645594281492e-31,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-5,y_leads_x,-0.0048358285673436125,-13.883978087747073,7.922219447809568e-44,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-4,y_leads_x,-0.005806002932512876,-34.853304718718874,3.79410668616977e-266,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-3,y_leads_x,-0.006610014228949046,-39.54383265394061,0.0,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-2,y_leads_x,-0.007550236200993,-30.85776454553648,4.407205648655808e-209,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-1,y_leads_x,-0.008179032473753898,-39.70279999152588,0.0,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
1,x_leads_y,-0.008306436725818848,-50.67040410862857,0.0,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
2,x_leads_y,-0.008423029774772961,-34.6956367591222,9.167138676386704e-264,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
3,x_leads_y,-0.008481717545711384,-26.28010825464205,3.237633986903099e-152,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
4,x_leads_y,-0.007905226737265935,-14.397252820906838,5.384145881525972e-47,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
5,x_leads_y,-0.007008748348282373,-9.505520219464803,1.9905058700806206e-21,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
6,x_leads_y,-0.0062244656808579085,-8.218821839547662,2.055120767824622e-16,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
7,x_leads_y,-0.005064147716393403,-8.305039803424116,9.97859904342501e-17,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
8,x_leads_y,-0.0035821425881341407,-7.346496098260982,2.0347016079016126e-13,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
9,x_leads_y,-0.001953751633077952,-5.976272437070126,2.283010850944809e-09,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
10,x_leads_y,-0.0009268045961725696,-4.864032801073538,1.1501784006482436e-06,0.9965565449209153,49,10,10,19,medium,RATECUT-24SEP18,600s
-10,y_leads_x,-0.00043728264190000536,-4.55516764992913,5.234381441205194e-06,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-9,y_leads_x,-0.0011434204890708576,-8.213803143619296,2.1429078688996537e-16,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-8,y_leads_x,-0.0019467231027636585,-6.711451625534582,1.9269767889855092e-11,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-7,y_leads_x,-0.002755580438514402,-4.617047166650706,3.89238826034091e-06,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-6,y_leads_x,-0.0033010103374533223,-3.094270675090717,0.001972973956309725,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-5,y_leads_x,-0.0039028859726541808,-2.8994053203026215,0.0037387124089405597,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-4,y_leads_x,-0.004739843704234572,-3.749272965673392,0.0001773479682258394,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-3,y_leads_x,-0.005661510832441471,-5.034808440877598,4.783269168587193e-07,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-2,y_leads_x,-0.006886091214885643,-8.040221683321914,8.967608880208981e-16,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-1,y_leads_x,-0.007580197415032422,-15.326750543761763,5.067082335467741e-53,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
1,x_leads_y,-0.007701648225801066,-45.920789430154315,0.0,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
2,x_leads_y,-0.00726827558831737,-16.29720859675646,1.0330349194920582e-59,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
3,x_leads_y,-0.00640253937890007,-6.325836336217009,2.5186465977852014e-10,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
4,x_leads_y,-0.005341854131165821,-3.8441667588525266,0.00012096273365361622,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
5,x_leads_y,-0.0039187410615802365,-2.2228918926600363,0.026223090595335955,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
6,x_leads_y,-0.00293356212634511,-1.527543809141825,0.1266258421789243,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
7,x_leads_y,-0.0021048450375589934,-1.191130166770135,0.23360248883509926,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
8,x_leads_y,-0.0013867166417072918,-1.039987265643759,0.2983458170067641,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
9,x_leads_y,-0.0007665087875020874,-1.0262862231846857,0.304756689203311,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
10,x_leads_y,-0.0004654421798803209,-1.1423561114201926,0.2533060263892237,0.990938896335652,55,11,10,24,medium,RATECUT-24SEP18,600s
-10,y_leads_x,-0.0041107354435022175,-2.041212604569679,0.041229699392807406,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-9,y_leads_x,-0.009111959018608461,-1.4866407654721463,0.1371097150257419,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-8,y_leads_x,-0.002516968962270657,-0.4295780803446024,0.6675025848585301,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-7,y_leads_x,0.012573287838882915,5.178332497333429,2.238779572651474e-07,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-6,y_leads_x,0.019417306118465948,2.2357347548391164,0.025369151012374497,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-5,y_leads_x,0.00837916413055486,0.7872950710916565,0.43110915435435604,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-4,y_leads_x,-0.00010273212991543726,-0.014673348178266262,0.9882927821427295,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-3,y_leads_x,-0.0008484653411771903,-0.10603932602513279,0.9155511504092195,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-2,y_leads_x,-0.011818620770424218,-1.266323831595866,0.2053971681697122,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
-1,y_leads_x,-0.0381592037273584,-240.77978485159235,0.0,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
1,x_leads_y,-0.037801021141266156,-66.80843425103447,0.0,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
2,x_leads_y,-0.010402456355520156,-1.2258558061899862,0.22025294208685176,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
3,x_leads_y,-0.0005809552085825065,-0.08582040770064495,0.9316091833295534,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
4,x_leads_y,-0.0008143722606381507,-0.64919961642723,0.5162093596074782,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
5,x_leads_y,0.005757986461139911,6.644305033667028,3.046510714507599e-11,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
6,x_leads_y,0.01527908746547511,2.508863888272638,0.012112014499305405,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
7,x_leads_y,0.008249472965073711,0.706767208987403,0.47971115534641917,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
8,x_leads_y,-0.006081003239705987,-0.72157499614556,0.4705558164890645,0.8597806877863178,67,4,10,43,high,KXECKH276,600s
