k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,etf,bar_freq
-10,y_leads_x,6.661594975377969e-07,1.4356959003282326,0.15108889232133804,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-9,y_leads_x,2.0530232813421332e-07,0.13654745924503892,0.8913885088086178,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-8,y_leads_x,-8.236371868257747e-07,-0.626821155385035,0.5307764745075494,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-7,y_leads_x,8.126744902756951e-07,1.2446760844274771,0.2132508403742649,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-6,y_leads_x,8.85441175685312e-07,1.3464135817760163,0.17816917320935266,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-5,y_leads_x,2.0756766494842163e-06,4.4518271451296565,8.514269350065984e-06,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-4,y_leads_x,-2.7066574922403467e-07,-0.3752181936496711,0.7074982004542928,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-3,y_leads_x,5.92944872587738e-07,0.5044923369050442,0.6139154458254668,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-2,y_leads_x,3.969815785355476e-07,0.39190504202334225,0.6951283774051826,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-1,y_leads_x,2.8230043916913535e-05,21.086112614302746,1.0667577761978305e-98,0.26624576129034494,66632,19,10,66593,high,VAW,5s
1,x_leads_y,2.8101518673019845e-05,20.0045935179704,5.0226398433327553e-89,0.26624576129034494,66632,19,10,66593,high,VAW,5s
2,x_leads_y,4.032270936700388e-07,0.40558175389397594,0.6850499376247597,0.26624576129034494,66632,19,10,66593,high,VAW,5s
3,x_leads_y,7.240799315214587e-07,0.6167777114360222,0.5373813552355261,0.26624576129034494,66632,19,10,66593,high,VAW,5s
4,x_leads_y,-2.8624448122195117e-07,-0.3943967667370117,0.6932881305213217,0.26624576129034494,66632,19,10,66593,high,VAW,5s
5,x_leads_y,2.086913182666134e-06,3.588815309120859,0.0003321840604112806,0.26624576129034494,66632,19,10,66593,high,VAW,5s
6,x_leads_y,7.595992815989658e-07,1.0607518420849118,0.28880269313420837,0.26624576129034494,66632,19,10,66593,high,VAW,5s
7,x_leads_y,7.116302579601775e-07,1.2073125497161417,0.227311799400292,0.26624576129034494,66632,19,10,66593,high,VAW,5s
8,x_leads_y,-5.638745978858888e-07,-0.4255057560470746,0.6704680264428788,0.26624576129034494,66632,19,10,66593,high,VAW,5s
9,x_leads_y,1.1413515006696327e-07,0.07742463808991551,0.9382857412473982,0.26624576129034494,66632,19,10,66593,high,VAW,5s
10,x_leads_y,8.269848292518191e-07,1.6782715501832357,0.09329409933982426,0.26624576129034494,66632,19,10,66593,high,VAW,5s
-10,y_leads_x,2.499144876063731e-07,0.3730374575569475,0.709120565742768,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-9,y_leads_x,4.3217408470738715e-07,0.6148684317228347,0.5386416121275518,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-8,y_leads_x,1.326360319756437e-07,0.1795480504192854,0.8575073914969527,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-7,y_leads_x,-3.5104833720076006e-07,-0.6575996816592549,0.5107953991719465,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-6,y_leads_x,1.4121254712573387e-06,2.6246833081923793,0.008672959364867143,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-5,y_leads_x,1.1464866113524697e-06,1.3558522832008664,0.1751461722867581,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-4,y_leads_x,-2.2285871765747402e-07,-0.29829896173462705,0.7654749966557987,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-3,y_leads_x,1.42990173306816e-06,1.5381136570623277,0.12402082732039674,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-2,y_leads_x,1.1293370883294543e-06,1.6293982595125212,0.10322873701162436,0.15963418708142363,76970,19,10,76931,high,VIS,5s
-1,y_leads_x,2.4298717188410287e-05,16.048579998931668,5.8486918780542774e-58,0.15963418708142363,76970,19,10,76931,high,VIS,5s
1,x_leads_y,2.4245411236047134e-05,16.285521490760885,1.2505856696167592e-59,0.15963418708142363,76970,19,10,76931,high,VIS,5s
2,x_leads_y,1.2334976577543686e-06,1.8805840448663853,0.06002852381037969,0.15963418708142363,76970,19,10,76931,high,VIS,5s
3,x_leads_y,1.358909496729586e-06,1.4969957464976409,0.1343943648299833,0.15963418708142363,76970,19,10,76931,high,VIS,5s
4,x_leads_y,-1.7733041633168308e-07,-0.23954400011040286,0.8106837822041262,0.15963418708142363,76970,19,10,76931,high,VIS,5s
5,x_leads_y,1.1468543456797296e-06,1.3687904115562952,0.17106479897110094,0.15963418708142363,76970,19,10,76931,high,VIS,5s
6,x_leads_y,1.4093445458030397e-06,2.4922311371702817,0.012694339813696989,0.15963418708142363,76970,19,10,76931,high,VIS,5s
7,x_leads_y,-2.747269728910099e-07,-0.47084469780058336,0.6377516425240838,0.15963418708142363,76970,19,10,76931,high,VIS,5s
