,share_weight
VAW,-0.0017884900335397161
VCR,0.00097077776751301
VDC,0.0024977576610871795
VDE,-0.00018756348957420184
VFH,0.0004245509732112386
VGT,6.535130187674371e-05
VHT,0.00021212441164475512
VIS,-0.0010820037084257024
VNQ,-0.002132246061857854
VOX,-0.0003372480374304069
VPU,0.00042763619531732406
MARA,-0.0004924604664710451
COIN,0.0004224130510884596
GEO,0.01134554454261619
IBKR,-0.00046188287350929327
FSLR,-0.000674461618563447
RUN,0.003765258452225397
DHI,-0.001111764710876439
TAN,-0.0014532261535755357
FXI,0.004276599431802917
