k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,x_ticker,y_ticker,bar_freq
-10,y_leads_x,-0.008018768221831242,-14.781903816375848,1.9167076038479288e-49,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-9,y_leads_x,-0.013342745343954866,-22.471565104283822,7.8766178638908225e-112,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-8,y_leads_x,-0.02595939668188806,-22.253554394153838,1.041988852493823e-109,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-7,y_leads_x,-0.06303576449005202,-86.00266350633173,0.0,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-6,y_leads_x,-0.054057261196883165,-5.1896908327287985,2.1064352835557742e-07,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-5,y_leads_x,-0.04729320625062914,-3.2802258364223618,0.001037240219749428,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-4,y_leads_x,-0.03528370697834218,-3.3623507623201028,0.000772818872700623,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-3,y_leads_x,0.019895793817211828,2.4419707021436343,0.014607332020014541,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-2,y_leads_x,0.002368827499848883,0.11353130109193324,0.9096093488162299,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-1,y_leads_x,0.029341374047805444,1.5494217263684615,0.12128037429940516,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
0,contemporaneous,0.014885457813890538,1.0410871223306064,0.2978351156496025,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
1,x_leads_y,0.006747820967643652,0.7846370981127472,0.4326663724947448,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
2,x_leads_y,0.011864843011741417,0.5514744959492127,0.581308445266089,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
3,x_leads_y,0.018625040877646118,0.40319419588735395,0.6868053691685796,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
4,x_leads_y,0.0595974677578285,1.715704299407747,0.08621617746791384,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
5,x_leads_y,0.0017545676498854125,0.0760475582362082,0.9393812617153745,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
6,x_leads_y,0.003174801692304146,2.8656866160845227,0.004161059391185146,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
7,x_leads_y,-0.011945453798004544,-1.9089486083930156,0.05626872158195932,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
8,x_leads_y,-0.010097659406745658,-0.35598070998821574,0.7218550113825442,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
9,x_leads_y,0.008249051151248273,0.2769196704843322,0.7818417881600062,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
10,x_leads_y,0.05189439142765868,0.6842773639004537,0.4938000379695615,0.8125518957996908,45,2,10,22,medium,KXECKH276,KXECDJT312,600s
-10,y_leads_x,0.005664020228762427,1.5206124820500995,0.12835711261101554,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-9,y_leads_x,0.001941637006741242,0.298922831750023,0.7649989259252571,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-8,y_leads_x,-0.02278793506152802,-1.1414167264568067,0.25369654738276404,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-7,y_leads_x,-0.017509736325481865,-0.735075952491365,0.4622932388114682,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-6,y_leads_x,-0.01038724000383172,-0.40018439505782805,0.6890207074010634,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-5,y_leads_x,0.00871006817523062,0.4149414578131205,0.6781847595639376,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-4,y_leads_x,-0.021195370514687735,-0.9085802747641936,0.36357172253600967,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-3,y_leads_x,-0.04738360935487381,-1.0246243848261025,0.30554045408263253,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-2,y_leads_x,0.0020334470556471716,0.11728058237493864,0.906637711851666,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
-1,y_leads_x,0.019770795727546864,0.8959773111585152,0.37026488113485523,0.7289100184624759,52,2,10,29,medium,KXECKH276,KXECDJT281,600s
