k,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,k_used,dof,reliability_tier,x_etf,y_etf,bar_freq
-10,y_leads_x,-3.501986200349483e-07,-0.6487639927049396,0.5164909345956455,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-9,y_leads_x,1.24848118910151e-06,2.5015770897814456,0.012364152115620216,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-8,y_leads_x,-6.481285069721058e-07,-1.2880468158542715,0.19772966703991057,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-7,y_leads_x,-7.903741263059903e-07,-1.5315355982751466,0.12563707539107632,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-6,y_leads_x,4.3322822494968766e-07,0.6599447027316357,0.5092893157739411,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-5,y_leads_x,-3.512162779718181e-07,-0.6426653541706799,0.5204412664107206,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-4,y_leads_x,7.37318252579103e-07,1.0102757445454809,0.312363198621774,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-3,y_leads_x,2.179020289797941e-07,0.274325882819055,0.7838341955618877,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-2,y_leads_x,9.073637567535978e-07,1.7605811384317467,0.07830932335027639,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-1,y_leads_x,1.6352981542263258e-05,7.296380036756286,2.956131749117272e-13,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
0,contemporaneous,4.951231915984374e-05,15.284686092943318,9.67279318862791e-53,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
1,x_leads_y,1.2641684715982823e-05,9.023882201243339,1.8153918702585684e-19,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
2,x_leads_y,-4.696709692146264e-07,-0.4886600521273104,0.6250823901608726,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
3,x_leads_y,2.0678003479572137e-06,2.1584875739833302,0.030889943488981636,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
4,x_leads_y,-1.8088604857745398e-07,-0.23996369607707813,0.8103584007344484,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
5,x_leads_y,8.669013205010144e-07,1.826231510474204,0.06781539680959574,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
6,x_leads_y,-9.890067457920817e-07,-1.313537722338467,0.18900181845821684,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
7,x_leads_y,1.0482717725238307e-06,2.2572943852667695,0.023989685977378192,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
8,x_leads_y,-7.961111269633382e-07,-1.3401493405083391,0.1801967976776342,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
9,x_leads_y,5.308452742703755e-07,0.8894571805186701,0.3737574260051756,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
10,x_leads_y,-7.174857065829104e-07,-1.3560308660555587,0.17508934750455096,0.411320087387131,65433,19,10,65393,high,VAW,VIS,5s
-10,y_leads_x,-3.32778995680654e-07,-0.5685380504665146,0.5696696762581998,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-9,y_leads_x,1.6536957822012796e-07,0.240592483537579,0.8098709763592646,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-8,y_leads_x,-8.372521044425459e-07,-1.5918837548431772,0.11141082636102162,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-7,y_leads_x,-6.123377487301487e-08,-0.10594541190441951,0.9156256633052208,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-6,y_leads_x,-4.532435254048005e-07,-1.081629611737759,0.2794171412029929,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-5,y_leads_x,8.773995022394407e-07,1.453167485739322,0.1461772573357761,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-4,y_leads_x,-1.0463598803271252e-06,-2.277340572433537,0.02276589589193227,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-3,y_leads_x,-1.6367696174499722e-07,-0.3034550574794047,0.7615430925770991,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-2,y_leads_x,-1.2559118488534574e-07,-0.27847191783486724,0.7806501191402906,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
-1,y_leads_x,1.4235500409588036e-05,11.512342408159247,1.1433012685264335e-30,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
0,contemporaneous,4.736754881543511e-05,7.697083737213033,1.392066772973061e-14,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
1,x_leads_y,7.680758083510967e-06,4.49993925202828,6.797288474621326e-06,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
2,x_leads_y,-2.6595861057290665e-06,-1.855887001995244,0.06346966605040961,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
3,x_leads_y,6.212237812353814e-07,0.6542594672197833,0.5129446548534247,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
4,x_leads_y,-6.834255839175696e-07,-0.7072186108744141,0.47943063473577674,0.3230133638261651,66540,19,10,66500,high,VAW,VCR,5s
