contract_ticker,etf,mode,bar_freq,bar_sec,is_primary_bar,median_intertrade_sec,K_chosen,k_lag,direction,coef,t_stat,p_value,p_fdr,r_squared,n_obs,n_days,n_params,n_active,n_ylags,n_active_bars,r2_daily_screen,contract_title
KXECKH276,VFH,calendar,30s,30,False,539.5,3,-3,etf_leads_kalshi,-3.047045142167135e-06,-26.127410672052648,1.780214444951023e-150,6.230750557328581e-150,0.04002525033313742,2928,6,15,12,2,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,30s,30,False,539.5,3,-2,etf_leads_kalshi,-3.24687149266183e-06,-12.625764034031178,1.52256454305666e-36,2.1315903602793238e-36,0.04002525033313742,2928,6,15,12,2,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,30s,30,False,539.5,3,-1,etf_leads_kalshi,-1.5746437585221173e-06,-11.48087934061496,1.6459790456741522e-30,1.9203088866198443e-30,0.04002525033313742,2928,6,15,12,2,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,30s,30,False,539.5,3,0,contemp,-5.907122503086986e-06,-52.63041120260168,0.0,0.0,0.04002525033313742,2928,6,15,12,2,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,30s,30,False,539.5,3,1,kalshi_leads_etf,5.381100519648757e-06,25.40921546284061,1.9947560965698628e-142,4.654430891996347e-142,0.04002525033313742,2928,6,15,12,2,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,30s,30,False,539.5,3,2,kalshi_leads_etf,-4.077046968925519e-06,-12.702905225753117,5.69746762164737e-37,9.970568337882898e-37,0.04002525033313742,2928,6,15,12,2,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,30s,30,False,539.5,3,3,kalshi_leads_etf,1.6167795698471423e-07,0.6779516753185232,0.497802333801879,0.497802333801879,0.04002525033313742,2928,6,15,12,2,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,1min,60,False,539.5,3,-3,etf_leads_kalshi,-8.76668898817763e-06,-44.38567016459579,0.0,0.0,0.029351837960073457,1445,6,14,12,1,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,1min,60,False,539.5,3,-2,etf_leads_kalshi,1.4100622154720406e-05,36.14520772860731,4.424759998723762e-286,1.032443999702211e-285,0.029351837960073457,1445,6,14,12,1,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,calendar,1min,60,False,539.5,3,-1,etf_leads_kalshi,-7.771390153987714e-06,-16.472884107777574,5.746416351769729e-61,8.04498289247762e-61,0.029351837960073457,1445,6,14,12,1,12,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
