contract_ticker,etf,mode,bar_freq,K_chosen,k_lag,direction,coef,t_stat,p_value,p_fdr,r_squared,n_obs,n_days,n_params,n_active,n_ylags,n_active_events,r2_daily_screen,contract_title
KXECKH276,VFH,event,10min,3,-3,etf_leads_kalshi,-0.001003673422884206,-0.32601074055858154,0.7444162289077968,0.9475511239540695,0.9908161298935085,12,1,11,7,3,21,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,-2,etf_leads_kalshi,0.00022768647681044684,0.06578233053282138,0.9475511239540695,0.9475511239540695,0.9908161298935085,12,1,11,7,3,21,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,-1,etf_leads_kalshi,0.002174487420331787,0.64487087192926,0.5190108692657548,0.9475511239540695,0.9908161298935085,12,1,11,7,3,21,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,0,contemp,0.0004177806491182506,0.10311250738012158,0.9178736784835322,0.9475511239540695,0.9908161298935085,12,1,11,7,3,21,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,1,kalshi_leads_etf,0.0016874493676247919,0.5456367169441019,0.5853156801372148,0.9475511239540695,0.9908161298935085,12,1,11,7,3,21,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,2,kalshi_leads_etf,0.0013798279619097577,0.6592874009871936,0.509711231316744,0.9475511239540695,0.9908161298935085,12,1,11,7,3,21,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VFH,event,10min,3,3,kalshi_leads_etf,-0.0008581456070774314,-0.3986550403378876,0.6901473999632747,0.9475511239540695,0.9908161298935085,12,1,11,7,3,21,0.8816564277734555,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,-3,etf_leads_kalshi,0.00015877793981119534,0.5543445303074814,0.579343080331484,0.6759002603867313,0.5457631661530964,12,1,8,7,0,21,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,-2,etf_leads_kalshi,0.00025627539834598546,0.781301264575787,0.4346253265445241,0.6084754571623338,0.5457631661530964,12,1,8,7,0,21,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,-1,etf_leads_kalshi,0.0005185055770559606,0.968748296877149,0.3326707889448469,0.6084754571623338,0.5457631661530964,12,1,8,7,0,21,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,0,contemp,0.0005939236097937181,0.9486110509466944,0.34281846838585583,0.6084754571623338,0.5457631661530964,12,1,8,7,0,21,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,1,kalshi_leads_etf,0.00045472188856884665,0.8366652169663394,0.40278077588168104,0.6084754571623338,0.5457631661530964,12,1,8,7,0,21,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,2,kalshi_leads_etf,0.0005620686776427475,0.8818626192737112,0.3778511037310903,0.6084754571623338,0.5457631661530964,12,1,8,7,0,21,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VIS,event,10min,3,3,kalshi_leads_etf,0.00020235938042468851,0.36641125717683637,0.71405822094299,0.71405822094299,0.5457631661530964,12,1,8,7,0,21,0.7648119234989674,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,10min,3,-3,etf_leads_kalshi,0.0029514186657256056,0.16831835809598442,0.8663328322279897,0.9797278009224694,0.9731860725658719,12,1,11,7,3,21,0.651769043544155,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,10min,3,-2,etf_leads_kalshi,0.0024271456459798667,0.20965827207328527,0.8339343956956794,0.9797278009224694,0.9731860725658719,12,1,11,7,3,21,0.651769043544155,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,10min,3,-1,etf_leads_kalshi,0.00336719717105453,0.20468206440981185,0.8378205342619575,0.9797278009224694,0.9731860725658719,12,1,11,7,3,21,0.651769043544155,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,10min,3,0,contemp,0.0002845220477476362,0.027709607409759435,0.9778937610420703,0.9797278009224694,0.9731860725658719,12,1,11,7,3,21,0.651769043544155,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,10min,3,1,kalshi_leads_etf,0.00022968460336351786,0.025410167892132497,0.9797278009224694,0.9797278009224694,0.9731860725658719,12,1,11,7,3,21,0.651769043544155,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,10min,3,2,kalshi_leads_etf,0.0008441967730416228,0.17134365858840303,0.8639535534336058,0.9797278009224694,0.9731860725658719,12,1,11,7,3,21,0.651769043544155,"Will Harris win 276-262 - PA, NV, MI, WI?"
KXECKH276,VCR,event,10min,3,3,kalshi_leads_etf,-0.003658948547129977,-0.12572155284719838,0.8999523405295204,0.9797278009224694,0.9731860725658719,12,1,11,7,3,21,0.651769043544155,"Will Harris win 276-262 - PA, NV, MI, WI?"
FEDDECISION-24SEP-C25,VDC,event,2min,8,-8,etf_leads_kalshi,4.3042889110793194e-05,0.7828578800196099,0.43371057404585234,0.7185411927960963,0.16051835746591114,316,8,25,205,0,468,0.6325467130894744,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-7,etf_leads_kalshi,-9.917302435325285e-06,-0.3909725992510675,0.6958174896868354,0.7685846179820641,0.16051835746591114,316,8,25,205,0,468,0.6325467130894744,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
FEDDECISION-24SEP-C25,VDC,event,2min,8,-6,etf_leads_kalshi,3.6957602568475374e-05,0.7307392787328868,0.4649384188680623,0.7185411927960963,0.16051835746591114,316,8,25,205,0,468,0.6325467130894744,Will the Federal Reserve Cut rates by 25bps at their September 2024 meeting?
