contract_ticker,etf,tier,cal_n_obs,cal_n_active,cal_df,cal_medSE,ev_n_obs,ev_n_active,ev_df,best_n_active,best_df,best_medSE
KXECKH276,VFH,Very-low-info,110.0,7.0,97.0,1.1683591956628852e-06,12.0,7.0,1.0,7.0,97.0,1.1683591956628852e-06
KXECDJT316,VFH,Very-low-info,149.0,13.0,132.0,4.485245063216477e-05,,,,13.0,132.0,4.485245063216477e-05
KXECKH276,VIS,Very-low-info,110.0,7.0,97.0,1.6061150768775831e-06,12.0,7.0,4.0,7.0,97.0,1.6061150768775831e-06
538APPROVEMAX-24OCT31-T43,VOX,Cannot-estimate,,,,,,,,,,
KXAAAGASM-24NOV30-US-3.30,VFH,Cannot-estimate,,,,,,,,,,
RATECUT-24SEP18,VCR,Cannot-estimate,,,,,,,,,,
KXECKH287,VNQ,Very-low-info,91.0,10.0,79.0,6.174713361034583e-05,,,,10.0,79.0,6.174713361034583e-05
KXECKH276,VCR,Very-low-info,110.0,7.0,97.0,3.881080003655617e-06,12.0,7.0,1.0,7.0,97.0,3.881080003655617e-06
FEDDECISION-24SEP-C25,VDC,Adequate,1906.0,282.0,1877.0,1.0131757074398875e-05,322.0,207.0,297.0,282.0,1877.0,1.0131757074398875e-05
KXECKH276,VDE,Very-low-info,110.0,7.0,97.0,2.412082236584605e-06,12.0,7.0,1.0,7.0,97.0,2.412082236584605e-06
AAAGASM-24SEP30-US-3.15,VIS,Cannot-estimate,,,,,,,,,,
AAAGASM-24SEP30-US-3.15,VGT,Cannot-estimate,,,,,,,,,,
KXAAAGASM-24NOV30-US-3.30,VDE,Cannot-estimate,,,,,,,,,,
KXECKH276,VOX,Very-low-info,110.0,7.0,96.0,1.4451295031405149e-05,12.0,7.0,1.0,7.0,96.0,1.4451295031405149e-05
KXECKH276,VGT,Very-low-info,110.0,7.0,97.0,9.6032435049992e-07,12.0,7.0,1.0,7.0,97.0,9.6032435049992e-07
KXAAAGASM-24NOV30-US-3.30,VDC,Cannot-estimate,,,,,,,,,,
AAAGASM-24SEP30-US-3.15,VAW,Cannot-estimate,,,,,,,,,,
KXECKH276,VDC,Very-low-info,110.0,7.0,97.0,4.406774411704893e-07,12.0,7.0,1.0,7.0,97.0,4.406774411704893e-07
AAAGASM-24OCT31-US-3.20,VHT,Cannot-estimate,,,,,,,,,,
KXECDJT316,VIS,Very-low-info,149.0,13.0,132.0,4.3897895914802825e-05,,,,13.0,132.0,4.3897895914802825e-05
KXECDJT316,VDE,Very-low-info,149.0,13.0,132.0,6.357903357122361e-05,,,,13.0,132.0,6.357903357122361e-05
KXAAAGASM-24NOV30-US-3.30,VNQ,Cannot-estimate,,,,,,,,,,
KX538APPROVEMAX-24NOV30-T41,VGT,Cannot-estimate,,,,,,,,,,
