k_lag,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,n_members_used,n_params,n_active,n_ylags,group,etf,mode,bar_freq,bar_sec,is_primary_bar,K_chosen,n_active_bars,n_members,p_fdr
-8,etf_leads_kalshi,-1.290033892340703e-06,-3.8253141634870573,0.0001306054250965857,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.0004923342919313267
-7,etf_leads_kalshi,-7.340560167606103e-08,-0.28671159764239357,0.7743331566215526,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.7743331566215526
-6,etf_leads_kalshi,4.6072070913995387e-07,1.399197246290311,0.16175384213024702,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.22915127635118326
-5,etf_leads_kalshi,-1.2886377646199428e-06,-1.8434081852900615,0.06526943588957489,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.1446005092092966
-4,etf_leads_kalshi,7.398330875250375e-07,3.799814901902203,0.00014480420350921374,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.0004923342919313267
-3,etf_leads_kalshi,7.43501349694568e-07,1.824693475171742,0.06804729845143369,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.1446005092092966
-2,etf_leads_kalshi,1.7339971850849777e-07,1.2593872352898543,0.20789049775242963,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.2524384615565217
-1,etf_leads_kalshi,-4.801559925557759e-07,-0.6308971611772454,0.5281077681497688,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.577088051530303
0,contemp,-6.340373084493319e-07,-1.3362579033567599,0.18146499088551094,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.2373003726964374
1,kalshi_leads_etf,-6.335070552508797e-07,-1.40842539992577,0.15900514242564412,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.22915127635118326
2,kalshi_leads_etf,-1.9896116213071245e-06,-15.556634011681032,1.4344698951541857e-54,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,2.4385988217621156e-53
3,kalshi_leads_etf,-5.776279624223636e-07,-1.4057434298181373,0.15980032566986913,0.08077059369435824,31955,23,6,25,247,2,ELECTION_trump_fav,VAW,calendar,30s,30,False,8,254,6,0.22915127635118326
