k_lag,direction,coef,t_stat,p_value,r_squared,n_obs,n_days,n_members_used,n_params,n_active,n_ylags,group,etf,mode,K_chosen,n_active_events,n_members,p_fdr
-8,etf_leads_kalshi,9.503153401084775e-05,0.9074974881106717,0.36414377720699187,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.49196624915214743
-7,etf_leads_kalshi,0.00020792617618765592,1.4220843976393527,0.15500175160501345,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.32937872216065356
-6,etf_leads_kalshi,0.00030575723991128667,2.2612124189950147,0.023746106444724958,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.18626419219667503
-5,etf_leads_kalshi,0.00018614336585127345,1.9080207663931779,0.05638853231831054,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.18626419219667503
-4,etf_leads_kalshi,0.0002310431935901191,1.9091115003981576,0.056247709487216406,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.18626419219667503
-3,etf_leads_kalshi,0.00024088105572623688,1.3254766603720944,0.1850131055604851,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.3494691993920274
-2,etf_leads_kalshi,0.0002142066034882671,1.4512676768669546,0.14670533820268594,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.32937872216065356
-1,etf_leads_kalshi,0.00021813735293863231,0.9840003824085756,0.32511532487756367,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.49196624915214743
0,contemp,3.1978198613772406e-05,0.2276382533553926,0.8199274787100874,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.8199274787100874
1,kalshi_leads_etf,0.00013389133330241623,0.884902008538295,0.37620948464575976,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.49196624915214743
2,kalshi_leads_etf,-3.102009001716441e-05,-0.7536009767172221,0.45108885767721996,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.5477507557509099
3,kalshi_leads_etf,-0.00025263826654867963,-1.8814355091973471,0.059912700314744875,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.18626419219667503
4,kalshi_leads_etf,-0.00026269553892843743,-2.112758728404421,0.03462142380815009,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.18626419219667503
5,kalshi_leads_etf,4.870276113483019e-05,0.3826208094090922,0.7020009386398819,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.7956010637918661
6,kalshi_leads_etf,0.0001127464052213383,1.1130284200369807,0.26569622379265323,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.4516835804475105
7,kalshi_leads_etf,0.0001887917810902802,1.8401903030539382,0.06574030312823825,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.18626419219667503
8,kalshi_leads_etf,1.2923304221962114e-05,0.288871090691254,0.7726800273255134,0.4447759818853785,62,2,4,21,43,0,ELECTION_trump_fav,VAW,event,8,269,6,0.8199274787100874
-8,etf_leads_kalshi,0.00025951065620055306,11.72407085244964,9.594802192571185e-32,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,1.6311163727371015e-30
-7,etf_leads_kalshi,0.00015519827984906588,4.626220973567511,3.7239798224024115e-06,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,1.582691424521025e-05
-6,etf_leads_kalshi,0.000305384947565944,8.62123111660433,6.6238066012069746e-18,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,5.630235611025929e-17
-5,etf_leads_kalshi,0.00016656333056630406,7.062124878222704,1.6397551797355986e-12,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,9.291946018501725e-12
-4,etf_leads_kalshi,9.599708838802887e-05,2.1608049669425315,0.030710408238743953,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.07141032934680501
-3,etf_leads_kalshi,0.00012951534076431037,1.3227039673689496,0.18593384366802668,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.2431442571043426
-2,etf_leads_kalshi,-4.0377819635682686e-05,-1.2198940527764637,0.22250504063404186,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.2701846921984794
-1,etf_leads_kalshi,8.363959716903781e-05,0.902910722274846,0.36657327949784024,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.4127227779557016
0,contemp,0.00013879162969220743,1.5168620604694794,0.12930151420938255,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.18317714512995859
1,kalshi_leads_etf,-0.00022401212693528726,-4.307421097797547,1.6516898460702842e-05,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,5.615745476638966e-05
2,kalshi_leads_etf,-4.1163699550782616e-05,-0.33264362977916706,0.7394033052729474,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.7394033052729474
3,kalshi_leads_etf,-0.0004773931139068022,-4.078001105341138,4.542455067849272e-05,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.0001287028935890627
4,kalshi_leads_etf,-0.0003447657072564345,-1.5397022404789886,0.12363295046004999,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.18317714512995859
5,kalshi_leads_etf,-9.977698814727383e-05,-1.6809874694846692,0.09276534848985156,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.17522343603638627
6,kalshi_leads_etf,-0.0001842925234811359,-2.124781360226061,0.03360486086908471,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.07141032934680501
7,kalshi_leads_etf,0.0001559198178398164,1.5335620566336987,0.1251374289046263,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.18317714512995859
8,kalshi_leads_etf,7.532011563863693e-05,0.8624408535273932,0.3884449674877192,0.6445663664043053,62,2,4,21,43,0,ELECTION_trump_fav,VCR,event,8,269,6,0.4127227779557016
-8,etf_leads_kalshi,-6.250614690160835e-05,-0.5056335544048336,0.6131139215403556,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.6948624444124031
-7,etf_leads_kalshi,-9.19686150923256e-05,-1.494800642831181,0.13496647852795216,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.28680376687189835
-6,etf_leads_kalshi,-6.210186507946257e-05,-0.36535441402212854,0.7148468649863862,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.7595247940480353
-5,etf_leads_kalshi,-5.431326602480379e-05,-0.5093858781338493,0.6104817729560197,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.6948624444124031
-4,etf_leads_kalshi,-5.202516920506293e-05,-0.9795522609035462,0.3273071796601088,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.42801708109398845
-3,etf_leads_kalshi,9.105986527147076e-05,2.402187253542405,0.016297363575460414,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.046175863463804506
-2,etf_leads_kalshi,4.845842962211408e-05,1.3294556166650922,0.18369769935078673,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.3434915485729765
-1,etf_leads_kalshi,0.000185245287284937,8.083646723697933,6.285824896960935e-16,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,1.068590232483359e-14
0,contemp,-3.991041544883477e-05,-6.916858189379784,4.617699114644698e-12,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,2.6166961649653286e-11
1,kalshi_leads_etf,0.00010200050703940922,1.7193816911314543,0.08554489381119874,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.2077518849700541
2,kalshi_leads_etf,0.0002784937248101886,3.0569737918542925,0.0022358382381802693,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.0076018500098129155
3,kalshi_leads_etf,1.0461725312444945e-05,0.09139421152231889,0.9271793610375505,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.9271793610375505
4,kalshi_leads_etf,0.0002676584814648248,1.2205426354372917,0.22225923731192598,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.3434915485729765
5,kalshi_leads_etf,6.0006296456137424e-05,1.0061349068487717,0.3143506791677584,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,0.42801708109398845
6,kalshi_leads_etf,0.00022000906121940152,4.593068371449843,4.367758818983998e-06,0.4969295060894845,62,2,4,22,43,1,ELECTION_trump_fav,VDC,event,8,269,6,1.8562974980681994e-05
