group,etf,mode,spec,direction,K,n_ylags,wald_chi2,wald_df,p_value,n_obs,n_days,n_members,n_active,cov_type
ELECTION_trump_fav,VAW,calendar,linear,kalshi->etf,6,1,5.467519305664751,6,0.4853910995972305,1258,22,6,137,hac-panel
ELECTION_trump_fav,VAW,calendar,linear,etf->kalshi,6,5,6.0436912143863735,6,0.41831361428314995,1258,22,6,1243,hac-panel
ELECTION_trump_fav,VAW,event,linear,kalshi->etf,6,0,32.54140357418754,6,1.284598902864266e-05,159,5,6,102,hac-panel
ELECTION_trump_fav,VAW,event,linear,etf->kalshi,6,5,8.332394576378041,6,0.21474848371940916,159,5,6,157,hac-panel
ELECTION_trump_fav,VAW,calendar,probit,kalshi->etf,6,0,31.926771858591614,6,1.6853546165132247e-05,130,4,6,92,hac-panel
ELECTION_trump_fav,VAW,event,probit,kalshi->etf,6,0,8.923932004233587,6,0.17790149463320715,157,5,6,104,hac-panel
ELECTION_trump_fav,VCR,calendar,linear,kalshi->etf,6,1,11.86405602551539,6,0.06507117586114121,1258,22,6,137,hac-panel
ELECTION_trump_fav,VCR,calendar,linear,etf->kalshi,6,5,6.473377699747712,6,0.3722994504832576,1258,22,6,1249,hac-panel
ELECTION_trump_fav,VCR,event,linear,kalshi->etf,6,0,11.0772195793374,6,0.08601898638435632,159,5,6,102,hac-panel
ELECTION_trump_fav,VCR,event,linear,etf->kalshi,6,5,7.80707488429079,6,0.25258101883038814,159,5,6,156,hac-panel
ELECTION_trump_fav,VCR,calendar,probit,kalshi->etf,6,0,12.399149718399638,6,0.05363414269521817,130,4,6,92,hac-panel
ELECTION_trump_fav,VCR,event,probit,kalshi->etf,6,0,10.94814808236751,6,0.08999225919037818,156,5,6,103,hac-panel
ELECTION_trump_fav,VDC,calendar,linear,kalshi->etf,6,1,16.918278978289102,6,0.009588320222083979,1258,22,6,137,hac-panel
ELECTION_trump_fav,VDC,calendar,linear,etf->kalshi,6,5,7.992297873563886,6,0.23866812646068788,1258,22,6,1236,hac-panel
ELECTION_trump_fav,VDC,event,linear,kalshi->etf,6,1,15.868546664475865,6,0.014477193775569922,159,5,6,102,hac-panel
ELECTION_trump_fav,VDC,event,linear,etf->kalshi,6,5,8.707258960426662,6,0.19072324971287674,159,5,6,157,hac-panel
ELECTION_trump_fav,VDC,calendar,probit,kalshi->etf,6,1,5.694897099624457,6,0.45822049878442517,125,4,6,89,hac-panel
ELECTION_trump_fav,VDC,event,probit,kalshi->etf,6,1,8.797847597038238,6,0.18527022407176896,157,5,6,105,hac-panel
ELECTION_trump_fav,VDE,calendar,linear,kalshi->etf,6,2,9.825118357818264,6,0.1322124914299696,1258,22,6,137,hac-panel
ELECTION_trump_fav,VDE,calendar,linear,etf->kalshi,6,5,8.526300313671534,6,0.2020229250990569,1258,22,6,1231,hac-panel
ELECTION_trump_fav,VDE,event,linear,kalshi->etf,6,0,20.93199054907009,6,0.0018869501326983984,159,5,6,102,hac-panel
ELECTION_trump_fav,VDE,event,linear,etf->kalshi,6,5,14.763225169352772,6,0.02218043061122774,159,5,6,156,hac-panel
ELECTION_trump_fav,VDE,calendar,probit,kalshi->etf,6,1,4.536463004947833,6,0.6044802809776768,129,4,6,91,hac-panel
ELECTION_trump_fav,VDE,event,probit,kalshi->etf,6,0,9.654185491829244,6,0.13999086280767578,156,5,6,104,hac-panel
ELECTION_trump_fav,VFH,calendar,linear,kalshi->etf,6,1,25.51234613120993,6,0.00027435866729734357,1258,22,6,137,hac-panel
ELECTION_trump_fav,VFH,calendar,linear,etf->kalshi,6,5,3.0988601292462805,6,0.7963405121538975,1258,22,6,1218,hac-panel
ELECTION_trump_fav,VFH,event,linear,kalshi->etf,6,0,30.843589999507426,6,2.7153026505228807e-05,159,5,6,102,hac-panel
ELECTION_trump_fav,VFH,event,linear,etf->kalshi,6,5,4.6412179937500095,6,0.5905811207905607,159,5,6,152,hac-panel
ELECTION_trump_fav,VFH,calendar,probit,kalshi->etf,6,1,12.040432144845841,6,0.061072867413217935,123,4,6,86,hac-panel
