k_lag,direction,beta,z_stat,p_value,pseudo_r2,n_obs,n_up,mode,bar,K_chosen,n_total,group,etf,n_members,p_fdr
-8,etf_leads_kalshi,-0.027027147580244965,-0.7195567278622234,0.47179796287950904,0.0005153467831636727,97,58,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.8237095217300435
-7,etf_leads_kalshi,-0.024938252213789595,-0.5168514208253308,0.6052598814759103,0.00040764151648509106,109,65,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.8237095217300435
-6,etf_leads_kalshi,0.007968557952286699,0.16212818811302854,0.8712049089439391,3.9815701890932864e-05,122,72,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.951722689079813
-5,etf_leads_kalshi,-0.13021441617207047,-6.547349606843815,5.856715051775272e-11,0.009260547111786921,136,78,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,3.318805196005987e-10
-4,etf_leads_kalshi,0.004914136668220008,0.1866747331496375,0.8519156678624242,1.2617331551334487e-05,151,84,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.951722689079813
-3,etf_leads_kalshi,0.002438828370664898,0.07783665119568481,0.9379579914380993,2.857378446186054e-06,168,93,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.951722689079813
-2,etf_leads_kalshi,-0.08432543419295355,-1.7108341210333626,0.08711173880074817,0.003112204925847184,187,102,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.21155707994467413
-1,etf_leads_kalshi,0.1285244584560615,4.221325856736504,2.4286954609229437e-05,0.007009787105285881,211,116,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.00010321955708922511
0,contemp,-0.04029427349776871,-1.0077628017598927,0.3135683476043032,0.000747657154474779,240,128,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.6663327386591443
1,kalshi_leads_etf,-0.1217198088998948,-2.9065176665887393,0.0036547626046765,0.006674335268388232,211,114,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.010355160713250083
2,kalshi_leads_etf,0.16009905021380924,8.692611407086867,3.5420222551816726e-18,0.011902677949966245,187,102,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,6.021437833808844e-17
3,kalshi_leads_etf,0.01704029390900521,0.48187391613412783,0.6298955166170921,0.00015353468161083406,168,92,calendar,10min,8,241,ELECTION_trump_fav,VAW,6,0.8237095217300435
